T_VTI_(K)	T_sample_(K)	I_s	V_nv	R_nv
3.00312E+2	2.99841E+2	9.99975E-6	2.84659E-3	2.84666E+2
3.00309E+2	2.99845E+2	9.99976E-6	2.84656E-3	2.84663E+2
3.00297E+2	2.99849E+2	9.99977E-6	2.84652E-3	2.84659E+2
3.00281E+2	2.99852E+2	9.99975E-6	2.84648E-3	2.84655E+2
3.00264E+2	2.99854E+2	9.99976E-6	2.84644E-3	2.84651E+2
3.00243E+2	2.99855E+2	9.99976E-6	2.84642E-3	2.84649E+2
3.00220E+2	2.99856E+2	9.99975E-6	2.84639E-3	2.84646E+2
3.00191E+2	2.99858E+2	9.99975E-6	2.84627E-3	2.84634E+2
3.00155E+2	2.99858E+2	9.99976E-6	2.84612E-3	2.84619E+2
3.00115E+2	2.99856E+2	9.99976E-6	2.84600E-3	2.84607E+2
3.00070E+2	2.99851E+2	9.99976E-6	2.84583E-3	2.84590E+2
3.00021E+2	2.99845E+2	9.99976E-6	2.84566E-3	2.84572E+2
2.99964E+2	2.99836E+2	9.99976E-6	2.84551E-3	2.84558E+2
2.99900E+2	2.99828E+2	9.99976E-6	2.84529E-3	2.84535E+2
2.99834E+2	2.99818E+2	9.99977E-6	2.84506E-3	2.84513E+2
2.99760E+2	2.99805E+2	9.99977E-6	2.84484E-3	2.84491E+2
2.99683E+2	2.99790E+2	9.99976E-6	2.84454E-3	2.84461E+2
2.99599E+2	2.99773E+2	9.99976E-6	2.84425E-3	2.84432E+2
2.99508E+2	2.99752E+2	9.99976E-6	2.84393E-3	2.84400E+2
2.99415E+2	2.99729E+2	9.99976E-6	2.84356E-3	2.84363E+2
2.99315E+2	2.99706E+2	9.99976E-6	2.84320E-3	2.84327E+2
2.99211E+2	2.99681E+2	9.99975E-6	2.84283E-3	2.84290E+2
2.99102E+2	2.99651E+2	9.99975E-6	2.84245E-3	2.84253E+2
2.98988E+2	2.99618E+2	9.99974E-6	2.84204E-3	2.84212E+2
2.98871E+2	2.99585E+2	9.99975E-6	2.84158E-3	2.84165E+2
2.98745E+2	2.99549E+2	9.99975E-6	2.84113E-3	2.84120E+2
2.98618E+2	2.99510E+2	9.99976E-6	2.84072E-3	2.84078E+2
2.98486E+2	2.99470E+2	9.99976E-6	2.84024E-3	2.84031E+2
2.98351E+2	2.99426E+2	9.99976E-6	2.83973E-3	2.83980E+2
2.98216E+2	2.99379E+2	9.99976E-6	2.83920E-3	2.83927E+2
2.98074E+2	2.99330E+2	9.99976E-6	2.83868E-3	2.83875E+2
2.97925E+2	2.99278E+2	9.99977E-6	2.83815E-3	2.83821E+2
2.97772E+2	2.99223E+2	9.99976E-6	2.83756E-3	2.83763E+2
2.97620E+2	2.99167E+2	9.99976E-6	2.83700E-3	2.83707E+2
2.97465E+2	2.99108E+2	9.99976E-6	2.83641E-3	2.83647E+2
2.97303E+2	2.99046E+2	9.99975E-6	2.83575E-3	2.83582E+2
2.97141E+2	2.98981E+2	9.99976E-6	2.83516E-3	2.83523E+2
2.96977E+2	2.98915E+2	9.99976E-6	2.83453E-3	2.83460E+2
2.96808E+2	2.98845E+2	9.99976E-6	2.83389E-3	2.83396E+2
2.96636E+2	2.98774E+2	9.99976E-6	2.83327E-3	2.83333E+2
2.96464E+2	2.98702E+2	9.99976E-6	2.83258E-3	2.83264E+2
2.96293E+2	2.98626E+2	9.99977E-6	2.83191E-3	2.83197E+2
2.96116E+2	2.98548E+2	9.99976E-6	2.83122E-3	2.83129E+2
2.95934E+2	2.98468E+2	9.99976E-6	2.83052E-3	2.83059E+2
2.95754E+2	2.98387E+2	9.99976E-6	2.82983E-3	2.82990E+2
2.95572E+2	2.98303E+2	9.99976E-6	2.82911E-3	2.82918E+2
2.95386E+2	2.98216E+2	9.99975E-6	2.82838E-3	2.82845E+2
