B_digital_(T)	B_analog_(T)	I_s	V_nv	R_nv
9.50000E-4	-5.84838E-3	9.99986E-5	-4.60795E-5	-4.60802E-1
4.19375E-3	-5.80300E-3	9.99986E-5	-4.60798E-5	-4.60805E-1
1.69335E-2	-5.12165E-3	9.99986E-5	-4.60842E-5	-4.60848E-1
3.65927E-2	-4.21158E-4	9.99986E-5	-4.60707E-5	-4.60713E-1
5.60894E-2	1.26126E-2	9.99986E-5	-4.60252E-5	-4.60259E-1
7.52792E-2	3.20733E-2	9.99987E-5	-4.59505E-5	-4.59512E-1
9.49481E-2	5.22430E-2	9.99986E-5	-4.56909E-5	-4.56915E-1
1.14606E-1	7.25366E-2	9.99985E-5	-4.38760E-5	-4.38767E-1
1.34293E-1	9.33322E-2	9.99986E-5	-4.04728E-5	-4.04733E-1
1.53826E-1	1.14002E-1	9.99986E-5	-3.85649E-5	-3.85654E-1
1.73224E-1	1.33696E-1	9.99986E-5	-3.84049E-5	-3.84055E-1
1.92989E-1	1.53224E-1	9.99986E-5	-3.82977E-5	-3.82982E-1
2.12458E-1	1.73521E-1	9.99986E-5	-3.81856E-5	-3.81861E-1
2.31483E-1	1.93799E-1	9.99986E-5	-3.81083E-5	-3.81088E-1
2.51041E-1	2.13640E-1	9.99986E-5	-3.80420E-5	-3.80426E-1
2.71049E-1	2.33340E-1	9.99986E-5	-3.79879E-5	-3.79884E-1
2.90310E-1	2.53233E-1	9.99985E-5	-3.79224E-5	-3.79229E-1
3.09566E-1	2.73089E-1	9.99986E-5	-3.78260E-5	-3.78265E-1
3.30033E-1	2.92593E-1	9.99986E-5	-3.77848E-5	-3.77853E-1
3.49030E-1	3.11880E-1	9.99985E-5	-3.78219E-5	-3.78224E-1
3.68272E-1	3.31061E-1	9.99985E-5	-3.77971E-5	-3.77976E-1
3.88323E-1	3.50147E-1	9.99986E-5	-3.78275E-5	-3.78280E-1
4.07356E-1	3.69356E-1	9.99986E-5	-3.78164E-5	-3.78169E-1
4.27246E-1	3.88553E-1	9.99986E-5	-3.76845E-5	-3.76850E-1
4.46318E-1	4.07807E-1	9.99986E-5	-3.75228E-5	-3.75233E-1
4.65877E-1	4.27299E-1	9.99986E-5	-3.72974E-5	-3.72979E-1
4.85607E-1	4.47289E-1	9.99986E-5	-3.72515E-5	-3.72521E-1
5.05127E-1	4.67336E-1	9.99986E-5	-3.72252E-5	-3.72257E-1
5.24335E-1	4.86892E-1	9.99986E-5	-3.73259E-5	-3.73264E-1
5.44276E-1	5.06455E-1	9.99985E-5	-3.74302E-5	-3.74308E-1
5.63425E-1	5.26006E-1	9.99985E-5	-3.72530E-5	-3.72535E-1
5.83246E-1	5.45398E-1	9.99986E-5	-3.72980E-5	-3.72985E-1
6.02885E-1	5.65022E-1	9.99986E-5	-3.70499E-5	-3.70505E-1
6.22175E-1	5.84650E-1	9.99986E-5	-3.66840E-5	-3.66845E-1
6.41683E-1	6.04023E-1	9.99986E-5	-3.67676E-5	-3.67682E-1
6.61434E-1	6.23351E-1	9.99986E-5	-3.69438E-5	-3.69443E-1
6.80346E-1	6.42956E-1	9.99986E-5	-3.71370E-5	-3.71376E-1
6.99886E-1	6.62536E-1	9.99986E-5	-3.68449E-5	-3.68454E-1
7.19234E-1	6.81993E-1	9.99985E-5	-3.68731E-5	-3.68736E-1
7.38650E-1	7.01375E-1	9.99986E-5	-3.70391E-5	-3.70396E-1
7.58653E-1	7.20693E-1	9.99986E-5	-3.70867E-5	-3.70872E-1
7.77803E-1	7.40166E-1	9.99986E-5	-3.70864E-5	-3.70869E-1
7.97610E-1	7.59716E-1	9.99986E-5	-3.67642E-5	-3.67647E-1
8.17726E-1	7.79232E-1	9.99985E-5	-3.62542E-5	-3.62547E-1
8.36844E-1	7.98580E-1	9.99985E-5	-3.64035E-5	-3.64040E-1
8.55966E-1	8.18016E-1	9.99986E-5	-3.65090E-5	-3.65095E-1
8.76026E-1	8.37361E-1	9.99986E-5	-3.61274E-5	-3.61280E-1
8.95449E-1	8.56780E-1	9.99985E-5	-3.64137E-5	-3.64143E-1
9.14824E-1	8.76193E-1	9.99986E-5	-3.62656E-5	-3.62661E-1
9.34485E-1	8.95452E-1	9.99986E-5	-3.63166E-5	-3.63171E-1
9.54003E-1	9.15026E-1	9.99986E-5	-3.70724E-5	-3.70729E-1
