B_digital_(T)	B_analog_(T)	I_s	V_nv	R_nv
9.79382E-1	1.02969E+0	9.99986E-5	-4.32954E-5	-4.32960E-1
9.59672E-1	1.00719E+0	9.99986E-5	-4.32221E-5	-4.32227E-1
9.39827E-1	9.82417E-1	9.99986E-5	-4.30786E-5	-4.30792E-1
9.21024E-1	9.61014E-1	9.99985E-5	-4.31067E-5	-4.31074E-1
9.01713E-1	9.41744E-1	9.99985E-5	-4.34411E-5	-4.34418E-1
8.81497E-1	9.22505E-1	9.99985E-5	-4.34732E-5	-4.34738E-1
8.61546E-1	9.03067E-1	9.99985E-5	-4.36540E-5	-4.36546E-1
8.42570E-1	8.83544E-1	9.99986E-5	-4.38811E-5	-4.38818E-1
8.23111E-1	8.64317E-1	9.99986E-5	-4.39118E-5	-4.39124E-1
8.03701E-1	8.44889E-1	9.99986E-5	-4.36848E-5	-4.36854E-1
7.83955E-1	8.25336E-1	9.99985E-5	-4.35882E-5	-4.35888E-1
7.63958E-1	8.06033E-1	9.99986E-5	-4.38249E-5	-4.38255E-1
7.44959E-1	7.86629E-1	9.99986E-5	-4.38884E-5	-4.38890E-1
7.25574E-1	7.67173E-1	9.99985E-5	-4.37629E-5	-4.37636E-1
7.06388E-1	7.47728E-1	9.99985E-5	-4.39279E-5	-4.39286E-1
6.86421E-1	7.28257E-1	9.99985E-5	-4.40217E-5	-4.40223E-1
