T_VTI_(K)	T_sample_(K)	I_s	V_nv	R_nv
2.99482E+2	2.98746E+2	9.99977E-6	3.41125E-3	3.41133E+2
2.99492E+2	2.98752E+2	9.99977E-6	3.41125E-3	3.41133E+2
2.99495E+2	2.98762E+2	9.99977E-6	3.41127E-3	3.41135E+2
2.99489E+2	2.98773E+2	9.99977E-6	3.41127E-3	3.41135E+2
2.99486E+2	2.98782E+2	9.99976E-6	3.41129E-3	3.41137E+2
2.99480E+2	2.98789E+2	9.99976E-6	3.41133E-3	3.41141E+2
2.99471E+2	2.98797E+2	9.99977E-6	3.41131E-3	3.41139E+2
2.99458E+2	2.98805E+2	9.99977E-6	3.41124E-3	3.41132E+2
2.99441E+2	2.98811E+2	9.99977E-6	3.41119E-3	3.41127E+2
2.99418E+2	2.98815E+2	9.99977E-6	3.41109E-3	3.41117E+2
2.99390E+2	2.98819E+2	9.99976E-6	3.41098E-3	3.41106E+2
2.99358E+2	2.98821E+2	9.99976E-6	3.41087E-3	3.41095E+2
2.99322E+2	2.98823E+2	9.99976E-6	3.41072E-3	3.41081E+2
2.99280E+2	2.98822E+2	9.99977E-6	3.41058E-3	3.41066E+2
2.99231E+2	2.98818E+2	9.99977E-6	3.41043E-3	3.41051E+2
2.99177E+2	2.98814E+2	9.99977E-6	3.41024E-3	3.41032E+2
2.99119E+2	2.98810E+2	9.99977E-6	3.41002E-3	3.41010E+2
2.99057E+2	2.98802E+2	9.99977E-6	3.40981E-3	3.40988E+2
2.98987E+2	2.98790E+2	9.99977E-6	3.40958E-3	3.40966E+2
2.98911E+2	2.98777E+2	9.99976E-6	3.40927E-3	3.40935E+2
2.98832E+2	2.98763E+2	9.99976E-6	3.40892E-3	3.40900E+2
2.98750E+2	2.98748E+2	9.99977E-6	3.40864E-3	3.40872E+2
2.98662E+2	2.98729E+2	9.99978E-6	3.40830E-3	3.40838E+2
2.98570E+2	2.98707E+2	9.99977E-6	3.40794E-3	3.40802E+2
2.98473E+2	2.98684E+2	9.99977E-6	3.40759E-3	3.40767E+2
2.98370E+2	2.98657E+2	9.99976E-6	3.40718E-3	3.40726E+2
2.98264E+2	2.98627E+2	9.99976E-6	3.40676E-3	3.40684E+2
2.98155E+2	2.98596E+2	9.99977E-6	3.40632E-3	3.40640E+2
2.98041E+2	2.98563E+2	9.99977E-6	3.40587E-3	3.40595E+2
2.97922E+2	2.98529E+2	9.99977E-6	3.40543E-3	3.40551E+2
2.97799E+2	2.98492E+2	9.99977E-6	3.40494E-3	3.40502E+2
2.97673E+2	2.98450E+2	9.99977E-6	3.40442E-3	3.40450E+2
2.97544E+2	2.98406E+2	9.99977E-6	3.40387E-3	3.40395E+2
2.97409E+2	2.98362E+2	9.99977E-6	3.40332E-3	3.40340E+2
2.97271E+2	2.98314E+2	9.99977E-6	3.40280E-3	3.40288E+2
2.97134E+2	2.98264E+2	9.99976E-6	3.40227E-3	3.40235E+2
2.96992E+2	2.98214E+2	9.99977E-6	3.40168E-3	3.40176E+2
2.96847E+2	2.98158E+2	9.99976E-6	3.40104E-3	3.40112E+2
2.96703E+2	2.98100E+2	9.99976E-6	3.40040E-3	3.40048E+2
2.96555E+2	2.98039E+2	9.99976E-6	3.39974E-3	3.39982E+2
2.96402E+2	2.97976E+2	9.99976E-6	3.39911E-3	3.39919E+2
2.96249E+2	2.97912E+2	9.99977E-6	3.39848E-3	3.39856E+2
2.96092E+2	2.97844E+2	9.99977E-6	3.39778E-3	3.39786E+2
2.95931E+2	2.97775E+2	9.99976E-6	3.39708E-3	3.39716E+2
2.95769E+2	2.97706E+2	9.99976E-6	3.39638E-3	3.39646E+2
2.95603E+2	2.97632E+2	9.99977E-6	3.39563E-3	3.39571E+2
2.95437E+2	2.97553E+2	9.99977E-6	3.39492E-3	3.39500E+2
