B_digital_(T)	B_analog_(T)	I_s	V_nv	R_nv
2.00105E+0	1.95367E+0	9.99985E-5	-3.51569E-5	-3.51574E-1
2.00200E+0	1.95375E+0	9.99985E-5	-3.51405E-5	-3.51410E-1
2.00128E+0	1.95393E+0	9.99985E-5	-3.51071E-5	-3.51077E-1
2.00136E+0	1.95414E+0	9.99985E-5	-3.51579E-5	-3.51585E-1
2.00126E+0	1.95429E+0	9.99985E-5	-3.52696E-5	-3.52701E-1
2.00136E+0	1.95445E+0	9.99986E-5	-3.52926E-5	-3.52931E-1
2.00152E+0	1.95461E+0	9.99986E-5	-3.52254E-5	-3.52259E-1
2.00078E+0	1.95473E+0	9.99985E-5	-3.51853E-5	-3.51858E-1
1.99392E+0	1.95468E+0	9.99985E-5	-3.52670E-5	-3.52675E-1
1.98126E+0	1.95403E+0	9.99985E-5	-3.53225E-5	-3.53230E-1
1.96838E+0	1.95174E+0	9.99985E-5	-3.52591E-5	-3.52596E-1
1.95535E+0	1.94454E+0	9.99984E-5	-3.52953E-5	-3.52959E-1
1.94338E+0	1.93276E+0	9.99984E-5	-3.54361E-5	-3.54366E-1
1.93101E+0	1.91940E+0	9.99985E-5	-3.55129E-5	-3.55134E-1
1.91730E+0	1.90632E+0	9.99985E-5	-3.55066E-5	-3.55072E-1
1.90490E+0	1.89347E+0	9.99985E-5	-3.54124E-5	-3.54130E-1
1.89214E+0	1.88089E+0	9.99985E-5	-3.53858E-5	-3.53863E-1
1.87940E+0	1.86847E+0	9.99986E-5	-3.54295E-5	-3.54300E-1
1.86749E+0	1.85601E+0	9.99986E-5	-3.54289E-5	-3.54294E-1
1.85457E+0	1.84355E+0	9.99986E-5	-3.53851E-5	-3.53856E-1
1.84217E+0	1.83121E+0	9.99986E-5	-3.53832E-5	-3.53837E-1
1.82910E+0	1.81886E+0	9.99986E-5	-3.55292E-5	-3.55297E-1
1.81660E+0	1.80650E+0	9.99985E-5	-3.55201E-5	-3.55206E-1
1.80347E+0	1.79412E+0	9.99985E-5	-3.54167E-5	-3.54173E-1
1.79109E+0	1.78181E+0	9.99986E-5	-3.54376E-5	-3.54381E-1
1.77890E+0	1.76956E+0	9.99985E-5	-3.54431E-5	-3.54436E-1
1.76578E+0	1.75714E+0	9.99985E-5	-3.54212E-5	-3.54217E-1
1.75346E+0	1.74465E+0	9.99986E-5	-3.54274E-5	-3.54279E-1
1.74065E+0	1.73237E+0	9.99984E-5	-3.55272E-5	-3.55278E-1
1.72783E+0	1.72009E+0	9.99985E-5	-3.55090E-5	-3.55095E-1
1.71581E+0	1.70765E+0	9.99986E-5	-3.54531E-5	-3.54536E-1
1.70311E+0	1.69519E+0	9.99986E-5	-3.54211E-5	-3.54216E-1
1.69015E+0	1.68281E+0	9.99986E-5	-3.53567E-5	-3.53572E-1
1.67691E+0	1.67043E+0	9.99985E-5	-3.53565E-5	-3.53571E-1
1.66439E+0	1.65812E+0	9.99985E-5	-3.53841E-5	-3.53846E-1
1.65237E+0	1.64574E+0	9.99985E-5	-3.54300E-5	-3.54305E-1
1.63936E+0	1.63322E+0	9.99985E-5	-3.54849E-5	-3.54855E-1
1.62696E+0	1.62083E+0	9.99985E-5	-3.54582E-5	-3.54588E-1
1.61422E+0	1.60854E+0	9.99986E-5	-3.54516E-5	-3.54521E-1
1.60116E+0	1.59615E+0	9.99986E-5	-3.55193E-5	-3.55198E-1
1.58816E+0	1.58378E+0	9.99985E-5	-3.54920E-5	-3.54926E-1
1.57252E+0	1.56826E+0	9.99985E-5	-3.53264E-5	-3.53269E-1
1.55963E+0	1.55586E+0	9.99986E-5	-3.53366E-5	-3.53371E-1
1.54721E+0	1.54360E+0	9.99986E-5	-3.53482E-5	-3.53487E-1
1.53569E+0	1.53121E+0	9.99986E-5	-3.53529E-5	-3.53534E-1
1.52238E+0	1.51883E+0	9.99986E-5	-3.54412E-5	-3.54417E-1
1.50946E+0	1.50652E+0	9.99986E-5	-3.54366E-5	-3.54371E-1
1.49656E+0	1.49403E+0	9.99986E-5	-3.53655E-5	-3.53660E-1
