B_digital_(T)	B_analog_(T)	T_VTI_(K)	T_sample_(K)	I_s	V_nv	R_nv
-1.03759E-1	-1.27993E-1	2.99774E+2	2.99586E+2	9.99985E-5	1.41940E-5	1.41942E-1
-9.08241E-2	-1.15495E-1	2.99759E+2	2.99584E+2	9.99985E-5	1.40738E-5	1.40740E-1
-7.81354E-2	-1.02782E-1	2.99744E+2	2.99581E+2	9.99984E-5	1.40872E-5	1.40875E-1
-6.57049E-2	-8.98433E-2	2.99731E+2	2.99579E+2	9.99984E-5	1.41025E-5	1.41027E-1
-5.29048E-2	-7.71651E-2	2.99716E+2	2.99574E+2	9.99985E-5	1.41098E-5	1.41101E-1
-4.04120E-2	-6.45413E-2	2.99699E+2	2.99569E+2	9.99984E-5	1.41340E-5	1.41342E-1
-2.76680E-2	-5.18153E-2	2.99683E+2	2.99566E+2	9.99984E-5	1.41037E-5	1.41039E-1
-1.50387E-2	-3.93902E-2	2.99665E+2	2.99561E+2	9.99986E-5	1.40773E-5	1.40775E-1
-4.38391E-3	-2.72262E-2	2.99649E+2	2.99556E+2	9.99986E-5	1.41336E-5	1.41338E-1
-1.43000E-3	-1.67285E-2	2.99636E+2	2.99551E+2	9.99985E-5	1.41357E-5	1.41359E-1
-8.47923E-4	-9.44822E-3	2.99620E+2	2.99547E+2	9.99985E-5	1.40702E-5	1.40704E-1
-4.70000E-4	-5.10973E-3	2.99604E+2	2.99542E+2	9.99985E-5	1.41586E-5	1.41588E-1
-4.70000E-4	-2.83835E-3	2.99588E+2	2.99536E+2	9.99985E-5	1.42654E-5	1.42656E-1
-1.39797E-3	-1.78585E-3	2.99571E+2	2.99528E+2	9.99985E-5	1.42730E-5	1.42732E-1
3.93139E-3	-9.63253E-4	2.99554E+2	2.99521E+2	9.99984E-5	1.42518E-5	1.42520E-1
1.45904E-2	8.42434E-4	2.99539E+2	2.99516E+2	9.99984E-5	1.42235E-5	1.42237E-1
2.76047E-2	6.23137E-3	2.99524E+2	2.99509E+2	9.99984E-5	1.41367E-5	1.41369E-1
4.02309E-2	1.56072E-2	2.99509E+2	2.99501E+2	9.99984E-5	1.41197E-5	1.41199E-1
5.30097E-2	2.71741E-2	2.99496E+2	2.99495E+2	9.99985E-5	1.41218E-5	1.41220E-1
6.57971E-2	3.91663E-2	2.99484E+2	2.99488E+2	9.99985E-5	1.40681E-5	1.40683E-1
7.81188E-2	5.15800E-2	2.99474E+2	2.99481E+2	9.99985E-5	1.40557E-5	1.40559E-1
9.10805E-2	6.44281E-2	2.99465E+2	2.99474E+2	9.99985E-5	1.41045E-5	1.41047E-1
1.03829E-1	7.71624E-2	2.99454E+2	2.99469E+2	9.99985E-5	1.41372E-5	1.41374E-1
1.16569E-1	8.98979E-2	2.99448E+2	2.99462E+2	9.99986E-5	1.41520E-5	1.41522E-1
1.29062E-1	1.02572E-1	2.99444E+2	2.99457E+2	9.99986E-5	1.41669E-5	1.41671E-1
1.41814E-1	1.15043E-1	2.99436E+2	2.99452E+2	9.99986E-5	1.41269E-5	1.41271E-1
1.54609E-1	1.27172E-1	2.99430E+2	2.99445E+2	9.99985E-5	1.41099E-5	1.41101E-1
1.66936E-1	1.39306E-1	2.99426E+2	2.99440E+2	9.99985E-5	1.41473E-5	1.41475E-1
1.79367E-1	1.51521E-1	2.99419E+2	2.99435E+2	9.99984E-5	1.41442E-5	1.41444E-1
1.91866E-1	1.63624E-1	2.99411E+2	2.99428E+2	9.99984E-5	1.41736E-5	1.41739E-1
2.04469E-1	1.75641E-1	2.99404E+2	2.99423E+2	9.99985E-5	1.41706E-5	1.41708E-1
2.17157E-1	1.87339E-1	2.99398E+2	2.99421E+2	9.99985E-5	1.41579E-5	1.41581E-1
2.29749E-1	1.99047E-1	2.99391E+2	2.99415E+2	9.99986E-5	1.41612E-5	1.41614E-1
2.42844E-1	2.10885E-1	2.99382E+2	2.99408E+2	9.99985E-5	1.41472E-5	1.41474E-1
2.55744E-1	2.22829E-1	2.99372E+2	2.99405E+2	9.99985E-5	1.42179E-5	1.42181E-1
2.68605E-1	2.35108E-1	2.99364E+2	2.99398E+2	9.99985E-5	1.41998E-5	1.42000E-1
2.81277E-1	2.47469E-1	2.99353E+2	2.99390E+2	9.99984E-5	1.40625E-5	1.40628E-1
2.93449E-1	2.59782E-1	2.99342E+2	2.99384E+2	9.99984E-5	1.40107E-5	1.40109E-1
3.05907E-1	2.72193E-1	2.99333E+2	2.99377E+2	9.99984E-5	1.40676E-5	1.40679E-1
3.18863E-1	2.84691E-1	2.99325E+2	2.99372E+2	9.99985E-5	1.41018E-5	1.41020E-1
3.31495E-1	2.97212E-1	2.99314E+2	2.99366E+2	9.99985E-5	1.40464E-5	1.40466E-1
3.43951E-1	3.09690E-1	2.99303E+2	2.99359E+2	9.99985E-5	1.40173E-5	1.40175E-1
3.56444E-1	3.22083E-1	2.99293E+2	2.99353E+2	9.99985E-5	1.40752E-5	1.40754E-1
3.69230E-1	3.34276E-1	2.99284E+2	2.99347E+2	9.99985E-5	1.40705E-5	1.40707E-1
3.82339E-1	3.46472E-1	2.99275E+2	2.99339E+2	9.99984E-5	1.40325E-5	1.40327E-1
3.95107E-1	3.58720E-1	2.99266E+2	2.99332E+2	9.99984E-5	1.40421E-5	1.40423E-1
4.07729E-1	3.70904E-1	2.99260E+2	2.99327E+2	9.99984E-5	1.40828E-5	1.40830E-1
4.20436E-1	3.83075E-1	2.99250E+2	2.99319E+2	9.99984E-5	1.41285E-5	1.41288E-1
4.33065E-1	3.95259E-1	2.99241E+2	2.99311E+2	9.99985E-5	1.40514E-5	1.40516E-1
4.45195E-1	4.07495E-1	2.99235E+2	2.99306E+2	9.99985E-5	1.40227E-5	1.40229E-1
4.57914E-1	4.20025E-1	2.99230E+2	2.99299E+2	9.99985E-5	1.40950E-5	1.40952E-1
4.70469E-1	4.32450E-1	2.99225E+2	2.99295E+2	9.99985E-5	1.41174E-5	1.41176E-1
