B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
1.39042E+0	1.40833E+0	2.99828E+2	9.99988E-5	-7.45562E-5	-7.45572E-1
1.37092E+0	1.38929E+0	2.99839E+2	9.99987E-5	-7.44628E-5	-7.44637E-1
1.35127E+0	1.37004E+0	2.99850E+2	9.99987E-5	-7.43515E-5	-7.43525E-1
1.33227E+0	1.35073E+0	2.99858E+2	9.99988E-5	-7.45307E-5	-7.45316E-1
1.31238E+0	1.33162E+0	2.99864E+2	9.99987E-5	-7.46886E-5	-7.46895E-1
1.29322E+0	1.31256E+0	2.99869E+2	9.99986E-5	-7.45400E-5	-7.45410E-1
1.27415E+0	1.29354E+0	2.99875E+2	9.99987E-5	-7.44732E-5	-7.44742E-1
1.25350E+0	1.27451E+0	2.99878E+2	9.99987E-5	-7.44493E-5	-7.44503E-1
1.23422E+0	1.25534E+0	2.99881E+2	9.99987E-5	-7.44490E-5	-7.44500E-1
1.21499E+0	1.23629E+0	2.99882E+2	9.99987E-5	-7.43832E-5	-7.43841E-1
1.19556E+0	1.21733E+0	2.99880E+2	9.99987E-5	-7.43731E-5	-7.43740E-1
1.17623E+0	1.19826E+0	2.99879E+2	9.99988E-5	-7.44473E-5	-7.44482E-1
1.15614E+0	1.17921E+0	2.99874E+2	9.99988E-5	-7.44192E-5	-7.44200E-1
1.13654E+0	1.15998E+0	2.99867E+2	9.99987E-5	-7.42852E-5	-7.42862E-1
1.11748E+0	1.14076E+0	2.99863E+2	9.99987E-5	-7.43840E-5	-7.43850E-1
1.09790E+0	1.12160E+0	2.99857E+2	9.99987E-5	-7.45269E-5	-7.45278E-1
1.07869E+0	1.10257E+0	2.99847E+2	9.99986E-5	-7.44136E-5	-7.44146E-1
1.05876E+0	1.08360E+0	2.99837E+2	9.99987E-5	-7.44318E-5	-7.44328E-1
1.03864E+0	1.06451E+0	2.99826E+2	9.99987E-5	-7.45331E-5	-7.45340E-1
1.01942E+0	1.04544E+0	2.99815E+2	9.99987E-5	-7.44456E-5	-7.44466E-1
9.99878E-1	1.02630E+0	2.99801E+2	9.99987E-5	-7.44982E-5	-7.44992E-1
9.79835E-1	1.00677E+0	2.99787E+2	9.99987E-5	-7.43703E-5	-7.43712E-1
9.60645E-1	9.86900E-1	2.99772E+2	9.99987E-5	-7.42671E-5	-7.42681E-1
9.41250E-1	9.66819E-1	2.99755E+2	9.99986E-5	-7.44152E-5	-7.44162E-1
9.22368E-1	9.46890E-1	2.99739E+2	9.99987E-5	-7.44426E-5	-7.44436E-1
9.03155E-1	9.27098E-1	2.99723E+2	9.99987E-5	-7.43871E-5	-7.43881E-1
8.83174E-1	9.07283E-1	2.99703E+2	9.99987E-5	-7.43820E-5	-7.43829E-1
8.63961E-1	8.87700E-1	2.99685E+2	9.99988E-5	-7.43974E-5	-7.43983E-1
8.44226E-1	8.68239E-1	2.99667E+2	9.99987E-5	-7.43936E-5	-7.43946E-1
8.23799E-1	8.48946E-1	2.99644E+2	9.99987E-5	-7.43755E-5	-7.43765E-1
8.04952E-1	8.29558E-1	2.99624E+2	9.99987E-5	-7.44928E-5	-7.44938E-1
7.85739E-1	8.10195E-1	2.99605E+2	9.99987E-5	-7.44296E-5	-7.44306E-1
7.65813E-1	7.90969E-1	2.99583E+2	9.99987E-5	-7.44035E-5	-7.44045E-1
7.46807E-1	7.71855E-1	2.99560E+2	9.99986E-5	-7.43373E-5	-7.43383E-1
7.27204E-1	7.52821E-1	2.99539E+2	9.99986E-5	-7.42686E-5	-7.42696E-1
7.06778E-1	7.33715E-1	2.99516E+2	9.99987E-5	-7.43836E-5	-7.43845E-1
6.87879E-1	7.14646E-1	2.99493E+2	9.99988E-5	-7.43921E-5	-7.43930E-1
6.68223E-1	6.95695E-1	2.99472E+2	9.99988E-5	-7.44133E-5	-7.44142E-1
6.48991E-1	6.76724E-1	2.99450E+2	9.99987E-5	-7.43818E-5	-7.43827E-1
6.29675E-1	6.57695E-1	2.99429E+2	9.99988E-5	-7.43263E-5	-7.43272E-1
6.09392E-1	6.38916E-1	2.99406E+2	9.99987E-5	-7.43078E-5	-7.43088E-1
5.90203E-1	6.20174E-1	2.99383E+2	9.99987E-5	-7.43121E-5	-7.43131E-1
5.70772E-1	6.01322E-1	2.99361E+2	9.99987E-5	-7.42641E-5	-7.42651E-1
5.50567E-1	5.82518E-1	2.99339E+2	9.99986E-5	-7.41914E-5	-7.41924E-1
5.31125E-1	5.63563E-1	2.99317E+2	9.99987E-5	-7.41860E-5	-7.41869E-1
5.12050E-1	5.44680E-1	2.99297E+2	9.99987E-5	-7.42900E-5	-7.42910E-1
4.92492E-1	5.25938E-1	2.99276E+2	9.99987E-5	-7.43743E-5	-7.43753E-1
4.72956E-1	5.07056E-1	2.99253E+2	9.99987E-5	-7.43314E-5	-7.43324E-1
4.53458E-1	4.88148E-1	2.99233E+2	9.99987E-5	-7.42712E-5	-7.42721E-1
