B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
9.50000E-4	-2.60274E-3	2.99319E+2	9.99989E-5	2.48268E-2	2.48271E+2
1.53213E-3	-2.57172E-3	2.99319E+2	9.99989E-5	2.48267E-2	2.48270E+2
1.57251E-2	-1.99549E-3	2.99317E+2	9.99988E-5	2.48267E-2	2.48270E+2
3.54065E-2	1.87240E-3	2.99315E+2	9.99988E-5	2.48268E-2	2.48271E+2
5.54009E-2	1.41275E-2	2.99313E+2	9.99988E-5	2.48270E-2	2.48273E+2
7.51829E-2	3.30012E-2	2.99310E+2	9.99987E-5	2.48273E-2	2.48276E+2
9.44287E-2	5.29605E-2	2.99305E+2	9.99988E-5	2.48275E-2	2.48278E+2
1.14090E-1	7.27962E-2	2.99304E+2	9.99988E-5	2.48276E-2	2.48279E+2
1.33524E-1	9.28760E-2	2.99303E+2	9.99988E-5	2.48278E-2	2.48281E+2
1.52530E-1	1.12991E-1	2.99301E+2	9.99988E-5	2.48280E-2	2.48283E+2
1.72356E-1	1.32709E-1	2.99298E+2	9.99988E-5	2.48280E-2	2.48283E+2
1.92080E-1	1.52326E-1	2.99294E+2	9.99988E-5	2.48279E-2	2.48282E+2
2.11693E-1	1.72169E-1	2.99290E+2	9.99987E-5	2.48277E-2	2.48280E+2
2.30839E-1	1.91946E-1	2.99288E+2	9.99987E-5	2.48273E-2	2.48277E+2
2.50235E-1	2.11435E-1	2.99283E+2	9.99988E-5	2.48269E-2	2.48272E+2
2.70026E-1	2.30837E-1	2.99276E+2	9.99987E-5	2.48263E-2	2.48266E+2
2.89765E-1	2.50054E-1	2.99272E+2	9.99987E-5	2.48256E-2	2.48259E+2
3.09197E-1	2.69197E-1	2.99265E+2	9.99987E-5	2.48247E-2	2.48250E+2
3.28557E-1	2.88237E-1	2.99257E+2	9.99987E-5	2.48231E-2	2.48235E+2
3.48044E-1	3.06905E-1	2.99248E+2	9.99987E-5	2.48220E-2	2.48224E+2
3.67870E-1	3.25418E-1	2.99237E+2	9.99987E-5	2.48208E-2	2.48211E+2
3.87264E-1	3.43835E-1	2.99226E+2	9.99988E-5	2.48191E-2	2.48194E+2
4.06313E-1	3.62087E-1	2.99215E+2	9.99988E-5	2.48177E-2	2.48180E+2
4.26253E-1	3.80547E-1	2.99202E+2	9.99986E-5	2.48161E-2	2.48164E+2
4.45207E-1	3.99066E-1	2.99186E+2	9.99987E-5	2.48143E-2	2.48146E+2
4.64484E-1	4.18119E-1	2.99169E+2	9.99987E-5	2.48122E-2	2.48125E+2
4.84175E-1	4.37240E-1	2.99151E+2	9.99988E-5	2.48101E-2	2.48104E+2
5.03988E-1	4.56010E-1	2.99131E+2	9.99988E-5	2.48077E-2	2.48080E+2
5.23456E-1	4.74990E-1	2.99108E+2	9.99987E-5	2.48049E-2	2.48052E+2
5.42753E-1	4.93700E-1	2.99085E+2	9.99987E-5	2.48019E-2	2.48022E+2
5.62250E-1	5.12425E-1	2.99059E+2	9.99988E-5	2.47988E-2	2.47991E+2
5.81764E-1	5.31209E-1	2.99031E+2	9.99987E-5	2.47956E-2	2.47960E+2
6.02019E-1	5.49914E-1	2.99003E+2	9.99987E-5	2.47921E-2	2.47924E+2
6.21492E-1	5.68577E-1	2.98970E+2	9.99987E-5	2.47884E-2	2.47887E+2
6.40730E-1	5.87243E-1	2.98935E+2	9.99986E-5	2.47845E-2	2.47848E+2
6.60154E-1	6.05930E-1	2.98898E+2	9.99987E-5	2.47802E-2	2.47806E+2
6.79890E-1	6.24604E-1	2.98858E+2	9.99988E-5	2.47760E-2	2.47764E+2
6.99490E-1	6.43226E-1	2.98818E+2	9.99988E-5	2.47717E-2	2.47720E+2
7.18372E-1	6.61908E-1	2.98775E+2	9.99988E-5	2.47667E-2	2.47670E+2
7.37826E-1	6.80602E-1	2.98728E+2	9.99988E-5	2.47610E-2	2.47613E+2
7.57804E-1	6.99561E-1	2.98680E+2	9.99987E-5	2.47545E-2	2.47548E+2
7.77195E-1	7.18521E-1	2.98629E+2	9.99987E-5	2.47476E-2	2.47480E+2
7.97081E-1	7.37336E-1	2.98577E+2	9.99987E-5	2.47413E-2	2.47416E+2
8.16759E-1	7.56195E-1	2.98522E+2	9.99988E-5	2.47352E-2	2.47355E+2
8.36102E-1	7.75158E-1	2.98463E+2	9.99988E-5	2.47296E-2	2.47299E+2
8.55598E-1	7.94192E-1	2.98403E+2	9.99986E-5	2.47248E-2	2.47252E+2
8.75111E-1	8.13259E-1	2.98340E+2	9.99986E-5	2.47196E-2	2.47199E+2
8.94389E-1	8.32443E-1	2.98271E+2	9.99987E-5	2.47128E-2	2.47131E+2
9.14444E-1	8.51870E-1	2.98192E+2	9.99988E-5	2.47051E-2	2.47054E+2
9.33563E-1	8.71334E-1	2.98104E+2	9.99988E-5	2.46962E-2	2.46965E+2
9.52772E-1	8.90759E-1	2.98005E+2	9.99988E-5	2.46859E-2	2.46862E+2
9.72915E-1	9.10070E-1	2.97898E+2	9.99987E-5	2.46763E-2	2.46766E+2
9.91781E-1	9.29483E-1	2.97791E+2	9.99987E-5	2.46682E-2	2.46685E+2
1.01147E+0	9.49377E-1	2.97684E+2	9.99988E-5	2.46601E-2	2.46604E+2
