B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
9.50000E-4	-3.08243E-3	2.97111E+2	9.99987E-5	-1.41306E-4	-1.41308E+0
4.70000E-4	-3.08044E-3	2.97162E+2	9.99987E-5	-1.41385E-4	-1.41387E+0
1.46412E-2	-2.68895E-3	2.97259E+2	9.99985E-5	-1.41454E-4	-1.41456E+0
3.12617E-2	-8.79796E-5	2.97348E+2	9.99985E-5	-1.41422E-4	-1.41424E+0
5.09758E-2	1.00446E-2	2.97432E+2	9.99986E-5	-1.41423E-4	-1.41425E+0
7.04748E-2	2.80556E-2	2.97510E+2	9.99986E-5	-1.41405E-4	-1.41407E+0
8.99822E-2	4.78968E-2	2.97583E+2	9.99987E-5	-1.41429E-4	-1.41430E+0
1.09744E-1	6.77718E-2	2.97648E+2	9.99986E-5	-1.41453E-4	-1.41455E+0
1.29145E-1	8.78720E-2	2.97708E+2	9.99986E-5	-1.41474E-4	-1.41476E+0
1.48490E-1	1.07805E-1	2.97764E+2	9.99985E-5	-1.41485E-4	-1.41487E+0
1.68291E-1	1.27618E-1	2.97817E+2	9.99985E-5	-1.41466E-4	-1.41469E+0
1.87769E-1	1.47344E-1	2.97865E+2	9.99984E-5	-1.41543E-4	-1.41546E+0
2.07044E-1	1.67131E-1	2.97910E+2	9.99984E-5	-1.41568E-4	-1.41570E+0
2.26533E-1	1.86969E-1	2.97950E+2	9.99984E-5	-1.41583E-4	-1.41585E+0
2.46302E-1	2.06573E-1	2.97988E+2	9.99985E-5	-1.41607E-4	-1.41609E+0
2.65846E-1	2.25709E-1	2.98024E+2	9.99985E-5	-1.41637E-4	-1.41639E+0
2.85432E-1	2.44781E-1	2.98056E+2	9.99986E-5	-1.41621E-4	-1.41623E+0
3.04916E-1	2.64046E-1	2.98084E+2	9.99986E-5	-1.41581E-4	-1.41583E+0
3.23972E-1	2.83246E-1	2.98107E+2	9.99986E-5	-1.41515E-4	-1.41517E+0
3.43326E-1	3.02061E-1	2.98130E+2	9.99986E-5	-1.41412E-4	-1.41414E+0
3.63147E-1	3.20526E-1	2.98151E+2	9.99985E-5	-1.41450E-4	-1.41452E+0
3.82480E-1	3.38942E-1	2.98169E+2	9.99986E-5	-1.41479E-4	-1.41481E+0
4.02200E-1	3.57412E-1	2.98184E+2	9.99986E-5	-1.41422E-4	-1.41424E+0
4.22186E-1	3.75735E-1	2.98195E+2	9.99986E-5	-1.41351E-4	-1.41353E+0
4.41539E-1	3.94157E-1	2.98206E+2	9.99985E-5	-1.41281E-4	-1.41283E+0
4.61186E-1	4.13302E-1	2.98214E+2	9.99985E-5	-1.41278E-4	-1.41280E+0
4.80580E-1	4.32463E-1	2.98220E+2	9.99983E-5	-1.41290E-4	-1.41292E+0
4.99945E-1	4.51247E-1	2.98224E+2	9.99984E-5	-1.41226E-4	-1.41228E+0
5.19483E-1	4.69954E-1	2.98225E+2	9.99985E-5	-1.41267E-4	-1.41269E+0
5.39261E-1	4.88600E-1	2.98224E+2	9.99986E-5	-1.41344E-4	-1.41346E+0
5.58689E-1	5.07343E-1	2.98219E+2	9.99985E-5	-1.41272E-4	-1.41274E+0
5.78205E-1	5.26027E-1	2.98213E+2	9.99984E-5	-1.41187E-4	-1.41189E+0
5.97965E-1	5.44527E-1	2.98203E+2	9.99984E-5	-1.41177E-4	-1.41180E+0
6.17014E-1	5.63122E-1	2.98190E+2	9.99985E-5	-1.41280E-4	-1.41282E+0
6.36307E-1	5.81881E-1	2.98176E+2	9.99986E-5	-1.41224E-4	-1.41226E+0
6.56150E-1	6.00553E-1	2.98159E+2	9.99985E-5	-1.40995E-4	-1.40997E+0
6.75702E-1	6.19203E-1	2.98140E+2	9.99985E-5	-1.40920E-4	-1.40922E+0
6.95546E-1	6.37847E-1	2.98118E+2	9.99985E-5	-1.40947E-4	-1.40949E+0
7.14230E-1	6.56606E-1	2.98094E+2	9.99986E-5	-1.40913E-4	-1.40915E+0
7.33595E-1	6.75466E-1	2.98066E+2	9.99985E-5	-1.40903E-4	-1.40905E+0
7.53870E-1	6.94127E-1	2.98036E+2	9.99986E-5	-1.40895E-4	-1.40897E+0
7.73428E-1	7.12932E-1	2.98006E+2	9.99986E-5	-1.40821E-4	-1.40823E+0
7.92790E-1	7.31991E-1	2.97971E+2	9.99984E-5	-1.40829E-4	-1.40831E+0
8.11437E-1	7.50811E-1	2.97932E+2	9.99985E-5	-1.40911E-4	-1.40913E+0
8.31149E-1	7.69638E-1	2.97892E+2	9.99984E-5	-1.40880E-4	-1.40883E+0
