B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
0.00000E+0	-3.11490E-3	2.98982E+2	9.99985E-5	3.60836E-5	3.60842E-1
2.57580E-4	-3.11466E-3	2.98987E+2	9.99985E-5	3.60857E-5	3.60862E-1
6.93932E-4	-3.11444E-3	2.98994E+2	9.99985E-5	3.61006E-5	3.61011E-1
6.86936E-4	-3.11421E-3	2.99004E+2	9.99985E-5	3.61014E-5	3.61019E-1
7.72224E-4	-3.11329E-3	2.99014E+2	9.99986E-5	3.60842E-5	3.60847E-1
6.19930E-4	-3.11234E-3	2.99022E+2	9.99986E-5	3.60790E-5	3.60795E-1
7.72213E-4	-3.11162E-3	2.99030E+2	9.99986E-5	3.60763E-5	3.60768E-1
9.50000E-4	-3.11095E-3	2.99038E+2	9.99986E-5	3.60822E-5	3.60827E-1
9.50000E-4	-3.11049E-3	2.99048E+2	9.99985E-5	3.60817E-5	3.60822E-1
9.50000E-4	-3.11050E-3	2.99058E+2	9.99986E-5	3.60739E-5	3.60744E-1
1.27291E-3	-3.11002E-3	2.99067E+2	9.99986E-5	3.60752E-5	3.60757E-1
5.82563E-4	-3.10910E-3	2.99075E+2	9.99985E-5	3.60945E-5	3.60950E-1
7.53254E-4	-3.10911E-3	2.99084E+2	9.99985E-5	3.61235E-5	3.61240E-1
1.43000E-3	-3.10884E-3	2.99093E+2	9.99986E-5	3.61309E-5	3.61314E-1
8.27083E-4	-3.10892E-3	2.99103E+2	9.99986E-5	3.61043E-5	3.61048E-1
4.70000E-4	-3.10858E-3	2.99112E+2	9.99985E-5	3.60970E-5	3.60976E-1
1.06919E-3	-3.10794E-3	2.99119E+2	9.99984E-5	3.61160E-5	3.61166E-1
8.24863E-4	-3.10697E-3	2.99127E+2	9.99985E-5	3.61384E-5	3.61389E-1
4.70000E-4	-3.10632E-3	2.99135E+2	9.99986E-5	3.61524E-5	3.61529E-1
7.27498E-4	-3.10632E-3	2.99145E+2	9.99985E-5	3.61343E-5	3.61349E-1
1.22381E-3	-3.10631E-3	2.99154E+2	9.99986E-5	3.61253E-5	3.61258E-1
1.12462E-3	-3.10632E-3	2.99161E+2	9.99987E-5	3.61389E-5	3.61394E-1
9.50000E-4	-3.10584E-3	2.99169E+2	9.99986E-5	3.61339E-5	3.61344E-1
3.22425E-4	-3.10562E-3	2.99176E+2	9.99985E-5	3.61431E-5	3.61437E-1
9.09741E-4	-3.10588E-3	2.99182E+2	9.99985E-5	3.61563E-5	3.61569E-1
1.17012E-3	-3.10559E-3	2.99190E+2	9.99985E-5	3.61189E-5	3.61195E-1
4.07016E-4	-3.10491E-3	2.99198E+2	9.99985E-5	3.61269E-5	3.61275E-1
2.90117E-4	-3.10469E-3	2.99205E+2	9.99985E-5	3.61657E-5	3.61662E-1
7.66398E-4	-3.10469E-3	2.99212E+2	9.99985E-5	3.61341E-5	3.61347E-1
1.24183E-3	-3.10446E-3	2.99219E+2	9.99984E-5	3.61338E-5	3.61344E-1
8.56691E-4	-3.10423E-3	2.99226E+2	9.99985E-5	3.61824E-5	3.61829E-1
4.70000E-4	-3.10423E-3	2.99231E+2	9.99985E-5	3.61954E-5	3.61959E-1
4.70000E-4	-3.10377E-3	2.99237E+2	9.99985E-5	3.61657E-5	3.61663E-1
4.70000E-4	-3.10354E-3	2.99243E+2	9.99985E-5	3.61507E-5	3.61512E-1
4.70000E-4	-3.10377E-3	2.99250E+2	9.99985E-5	3.61296E-5	3.61301E-1
4.70000E-4	-3.10401E-3	2.99255E+2	9.99985E-5	3.61446E-5	3.61451E-1
4.70000E-4	-3.10375E-3	2.99261E+2	9.99985E-5	3.61720E-5	3.61725E-1
7.91250E-4	-3.10281E-3	2.99266E+2	9.99984E-5	3.61452E-5	3.61457E-1
9.50000E-4	-3.10310E-3	2.99271E+2	9.99984E-5	3.61528E-5	3.61533E-1
9.50000E-4	-3.10377E-3	2.99277E+2	9.99984E-5	3.61630E-5	3.61636E-1
1.22490E-3	-3.10328E-3	2.99282E+2	9.99985E-5	3.61676E-5	3.61682E-1
8.73555E-4	-3.10236E-3	2.99287E+2	9.99985E-5	3.61595E-5	3.61600E-1
8.02122E-4	-3.10216E-3	2.99291E+2	9.99985E-5	3.61504E-5	3.61510E-1
6.52208E-4	-3.10262E-3	2.99296E+2	9.99985E-5	3.61686E-5	3.61691E-1
4.70000E-4	-3.10235E-3	2.99301E+2	9.99985E-5	3.61765E-5	3.61770E-1
2.08378E-4	-3.10191E-3	2.99306E+2	9.99985E-5	3.61645E-5	3.61651E-1
5.14763E-4	-3.10215E-3	2.99310E+2	9.99984E-5	3.61667E-5	3.61673E-1
9.50000E-4	-3.10261E-3	2.99313E+2	9.99984E-5	3.61846E-5	3.61851E-1
9.50000E-4	-3.10260E-3	2.99316E+2	9.99985E-5	3.61732E-5	3.61737E-1
6.54897E-4	-3.10188E-3	2.99320E+2	9.99986E-5	3.61728E-5	3.61733E-1
4.70000E-4	-3.10145E-3	2.99326E+2	9.99985E-5	3.62096E-5	3.62102E-1
4.70000E-4	-3.10145E-3	2.99328E+2	9.99984E-5	3.62145E-5	3.62151E-1
7.21697E-4	-3.10145E-3	2.99332E+2	9.99985E-5	3.61909E-5	3.61914E-1
9.50000E-4	-3.10145E-3	2.99337E+2	9.99985E-5	3.61860E-5	3.61865E-1
9.50000E-4	-3.10120E-3	2.99340E+2	9.99985E-5	3.61823E-5	3.61829E-1
9.50000E-4	-3.10123E-3	2.99344E+2	9.99984E-5	3.61976E-5	3.61982E-1
6.54043E-4	-3.10145E-3	2.99347E+2	9.99986E-5	3.61826E-5	3.61831E-1
7.40163E-4	-3.10170E-3	2.99350E+2	9.99985E-5	3.61696E-5	3.61702E-1
9.50000E-4	-3.10118E-3	2.99354E+2	9.99985E-5	3.62120E-5	3.62126E-1
9.50000E-4	-3.10098E-3	2.99357E+2	9.99985E-5	3.62005E-5	3.62010E-1
6.92807E-4	-3.10122E-3	2.99360E+2	9.99984E-5	3.61645E-5	3.61651E-1
7.42568E-4	-3.10122E-3	2.99364E+2	9.99984E-5	3.61803E-5	3.61809E-1
9.50000E-4	-3.10145E-3	2.99367E+2	9.99984E-5	3.62008E-5	3.62014E-1
9.50000E-4	-3.10145E-3	2.99369E+2	9.99984E-5	3.62181E-5	3.62186E-1
6.47447E-4	-3.10145E-3	2.99371E+2	9.99986E-5	3.62114E-5	3.62119E-1
7.69701E-4	-3.10120E-3	2.99373E+2	9.99986E-5	3.62122E-5	3.62127E-1
9.50000E-4	-3.10123E-3	2.99377E+2	9.99986E-5	3.62097E-5	3.62102E-1
9.50000E-4	-3.10121E-3	2.99381E+2	9.99986E-5	3.61903E-5	3.61909E-1
6.74316E-4	-3.10122E-3	2.99383E+2	9.99985E-5	3.61898E-5	3.61903E-1
4.70000E-4	-3.10095E-3	2.99385E+2	9.99985E-5	3.61865E-5	3.61870E-1
4.70000E-4	-3.10100E-3	2.99387E+2	9.99986E-5	3.62019E-5	3.62024E-1
7.53100E-4	-3.10122E-3	2.99388E+2	9.99987E-5	3.62193E-5	3.62198E-1
6.60124E-4	-3.10098E-3	2.99392E+2	9.99986E-5	3.62093E-5	3.62098E-1
4.70000E-4	-3.10098E-3	2.99393E+2	9.99985E-5	3.62312E-5	3.62318E-1
8.03725E-4	-3.10123E-3	2.99393E+2	9.99984E-5	3.62618E-5	3.62623E-1
9.50000E-4	-3.10097E-3	2.99395E+2	9.99984E-5	3.62340E-5	3.62346E-1
9.50000E-4	-3.10122E-3	2.99397E+2	9.99985E-5	3.62148E-5	3.62154E-1
6.91909E-4	-3.10167E-3	2.99397E+2	9.99985E-5	3.62175E-5	3.62180E-1
7.38683E-4	-3.10145E-3	2.99398E+2	9.99985E-5	3.62255E-5	3.62260E-1
9.50000E-4	-3.10145E-3	2.99401E+2	9.99986E-5	3.62279E-5	3.62284E-1
6.74376E-4	-3.10145E-3	2.99402E+2	9.99985E-5	3.62182E-5	3.62187E-1
7.42013E-4	-3.10191E-3	2.99402E+2	9.99984E-5	3.62007E-5	3.62013E-1
9.50000E-4	-3.10237E-3	2.99403E+2	9.99985E-5	3.61866E-5	3.61872E-1
1.23715E-3	-3.10187E-3	2.99404E+2	9.99986E-5	3.61972E-5	3.61977E-1
8.16420E-4	-3.10145E-3	2.99406E+2	9.99986E-5	3.62386E-5	3.62391E-1
4.70000E-4	-3.10145E-3	2.99406E+2	9.99985E-5	3.62353E-5	3.62359E-1
1.82715E-4	-3.10169E-3	2.99407E+2	9.99985E-5	3.62003E-5	3.62009E-1
6.47628E-4	-3.10216E-3	2.99407E+2	9.99985E-5	3.61969E-5	3.61974E-1
9.50000E-4	-3.10212E-3	2.99408E+2	9.99984E-5	3.62173E-5	3.62178E-1
6.81198E-4	-3.10166E-3	2.99408E+2	9.99984E-5	3.62290E-5	3.62296E-1
4.70000E-4	-3.10191E-3	2.99406E+2	9.99984E-5	3.62284E-5	3.62290E-1
1.06859E-3	-3.10215E-3	2.99406E+2	9.99984E-5	3.62439E-5	3.62445E-1
1.16936E-3	-3.10215E-3	2.99406E+2	9.99984E-5	3.62418E-5	3.62424E-1
7.11894E-4	-3.10212E-3	2.99407E+2	9.99984E-5	3.62446E-5	3.62451E-1
7.12599E-4	-3.10191E-3	2.99408E+2	9.99985E-5	3.62324E-5	3.62329E-1
9.50000E-4	-3.10191E-3	2.99406E+2	9.99986E-5	3.62332E-5	3.62337E-1
9.50000E-4	-3.10167E-3	2.99404E+2	9.99986E-5	3.62366E-5	3.62371E-1
9.50000E-4	-3.10193E-3	2.99404E+2	9.99986E-5	3.62174E-5	3.62179E-1
6.86320E-4	-3.10237E-3	2.99404E+2	9.99985E-5	3.62148E-5	3.62153E-1
4.70000E-4	-3.10214E-3	2.99403E+2	9.99984E-5	3.62659E-5	3.62665E-1
1.12414E-3	-3.10216E-3	2.99402E+2	9.99984E-5	3.62504E-5	3.62510E-1
8.09454E-4	-3.10188E-3	2.99401E+2	9.99985E-5	3.62422E-5	3.62428E-1
4.70000E-4	-3.10193E-3	2.99401E+2	9.99987E-5	3.62703E-5	3.62708E-1
7.34372E-4	-3.10167E-3	2.99400E+2	9.99985E-5	3.62515E-5	3.62520E-1
