T_sample_(K)	I_s	V_nv	R_nv
2.98746E+2	1.00004E-4	2.12073E-2	2.12064E+2
2.98750E+2	1.00004E-4	2.12073E-2	2.12064E+2
2.98760E+2	1.00004E-4	2.12069E-2	2.12060E+2
2.98768E+2	1.00004E-4	2.12066E-2	2.12056E+2
2.98774E+2	1.00004E-4	2.12066E-2	2.12057E+2
2.98782E+2	1.00004E-4	2.12064E-2	2.12055E+2
2.98791E+2	1.00004E-4	2.12061E-2	2.12052E+2
2.98797E+2	1.00004E-4	2.12059E-2	2.12049E+2
2.98802E+2	1.00004E-4	2.12059E-2	2.12050E+2
2.98807E+2	1.00004E-4	2.12053E-2	2.12045E+2
2.98812E+2	1.00004E-4	2.12050E-2	2.12042E+2
2.98815E+2	1.00004E-4	2.12049E-2	2.12040E+2
2.98818E+2	1.00004E-4	2.12041E-2	2.12032E+2
2.98822E+2	1.00004E-4	2.12033E-2	2.12024E+2
2.98821E+2	1.00004E-4	2.12027E-2	2.12017E+2
2.98821E+2	1.00004E-4	2.12021E-2	2.12012E+2
2.98819E+2	1.00004E-4	2.12015E-2	2.12006E+2
2.98819E+2	1.00004E-4	2.12006E-2	2.11997E+2
2.98817E+2	1.00004E-4	2.11996E-2	2.11987E+2
2.98813E+2	1.00004E-4	2.11986E-2	2.11977E+2
2.98808E+2	1.00004E-4	2.11980E-2	2.11971E+2
2.98802E+2	1.00004E-4	2.11966E-2	2.11957E+2
2.98793E+2	1.00004E-4	2.11954E-2	2.11945E+2
2.98782E+2	1.00004E-4	2.11948E-2	2.11939E+2
2.98772E+2	1.00004E-4	2.11934E-2	2.11925E+2
2.98761E+2	1.00004E-4	2.11922E-2	2.11913E+2
2.98746E+2	1.00004E-4	2.11909E-2	2.11900E+2
2.98731E+2	1.00004E-4	2.11893E-2	2.11884E+2
2.98716E+2	1.00004E-4	2.11880E-2	2.11871E+2
2.98697E+2	1.00004E-4	2.11863E-2	2.11855E+2
2.98675E+2	1.00004E-4	2.11845E-2	2.11835E+2
2.98655E+2	1.00004E-4	2.11826E-2	2.11817E+2
2.98633E+2	1.00004E-4	2.11811E-2	2.11802E+2
2.98609E+2	1.00004E-4	2.11793E-2	2.11784E+2
2.98582E+2	1.00004E-4	2.11771E-2	2.11762E+2
2.98555E+2	1.00004E-4	2.11752E-2	2.11743E+2
2.98525E+2	1.00004E-4	2.11737E-2	2.11728E+2
2.98493E+2	1.00004E-4	2.11719E-2	2.11710E+2
2.98461E+2	1.00004E-4	2.11698E-2	2.11688E+2
2.98428E+2	1.00004E-4	2.11677E-2	2.11668E+2
2.98392E+2	1.00004E-4	2.11657E-2	2.11648E+2
2.98354E+2	1.00004E-4	2.11635E-2	2.11626E+2
2.98314E+2	1.00004E-4	2.11614E-2	2.11604E+2
2.98274E+2	1.00004E-4	2.11586E-2	2.11577E+2
2.98232E+2	1.00004E-4	2.11557E-2	2.11548E+2
2.98189E+2	1.00004E-4	2.11533E-2	2.11524E+2
2.98144E+2	1.00004E-4	2.11508E-2	2.11499E+2
2.98098E+2	1.00004E-4	2.11482E-2	2.11473E+2
2.98049E+2	1.00004E-4	2.11457E-2	2.11448E+2
2.97999E+2	1.00004E-4	2.11431E-2	2.11422E+2
2.97945E+2	1.00004E-4	2.11403E-2	2.11394E+2
2.97892E+2	1.00004E-4	2.11379E-2	2.11370E+2
2.97839E+2	1.00004E-4	2.11354E-2	2.11345E+2
2.97782E+2	1.00004E-4	2.11322E-2	2.11314E+2
2.97723E+2	1.00004E-4	2.11292E-2	2.11283E+2
2.97666E+2	1.00004E-4	2.11264E-2	2.11255E+2
2.97606E+2	1.00004E-4	2.11240E-2	2.11231E+2
2.97544E+2	1.00004E-4	2.11216E-2	2.11207E+2
2.97483E+2	1.00004E-4	2.11187E-2	2.11178E+2
2.97419E+2	1.00004E-4	2.11154E-2	2.11145E+2
2.97352E+2	1.00004E-4	2.11116E-2	2.11107E+2
2.97286E+2	1.00004E-4	2.11081E-2	2.11072E+2
2.97218E+2	1.00004E-4	2.11055E-2	2.11046E+2
2.97148E+2	1.00004E-4	2.11022E-2	2.11013E+2
2.97077E+2	1.00004E-4	2.10985E-2	2.10976E+2
2.97006E+2	1.00004E-4	2.10959E-2	2.10950E+2
2.96935E+2	1.00004E-4	2.10934E-2	2.10925E+2
2.96864E+2	1.00004E-4	2.10908E-2	2.10898E+2
2.96791E+2	1.00004E-4	2.10872E-2	2.10863E+2
2.96719E+2	1.00004E-4	2.10837E-2	2.10828E+2
2.96646E+2	1.00004E-4	2.10808E-2	2.10799E+2
2.96569E+2	1.00004E-4	2.10775E-2	2.10766E+2
2.96493E+2	1.00004E-4	2.10745E-2	2.10736E+2
2.96417E+2	1.00004E-4	2.10718E-2	2.10709E+2
2.96340E+2	1.00004E-4	2.10682E-2	2.10673E+2
2.96262E+2	1.00004E-4	2.10650E-2	2.10641E+2
2.96184E+2	1.00004E-4	2.10616E-2	2.10607E+2
2.96104E+2	1.00004E-4	2.10583E-2	2.10574E+2
2.96023E+2	1.00004E-4	2.10557E-2	2.10548E+2
2.95942E+2	1.00004E-4	2.10523E-2	2.10514E+2
2.95860E+2	1.00004E-4	2.10491E-2	2.10482E+2
2.95777E+2	1.00004E-4	2.10455E-2	2.10446E+2
2.95694E+2	1.00004E-4	2.10420E-2	2.10411E+2
2.95609E+2	1.00004E-4	2.10383E-2	2.10374E+2
2.95524E+2	1.00004E-4	2.10345E-2	2.10336E+2
2.95439E+2	1.00004E-4	2.10307E-2	2.10298E+2
2.95348E+2	1.00004E-4	2.10269E-2	2.10260E+2
2.95258E+2	1.00004E-4	2.10236E-2	2.10227E+2
2.95168E+2	1.00004E-4	2.10201E-2	2.10192E+2
2.95080E+2	1.00004E-4	2.10164E-2	2.10155E+2
2.94991E+2	1.00004E-4	2.10129E-2	2.10120E+2
2.94900E+2	1.00004E-4	2.10091E-2	2.10082E+2
2.94808E+2	1.00004E-4	2.10051E-2	2.10042E+2
2.94716E+2	1.00004E-4	2.10013E-2	2.10004E+2
