B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
-0.00000E+0	2.42331E-3	2.99124E+2	1.00004E-4	1.70668E-3	1.70661E+1
-4.70000E-4	2.42848E-3	2.99124E+2	1.00004E-4	1.70677E-3	1.70670E+1
9.42245E-3	2.64957E-3	2.99125E+2	1.00004E-4	1.70650E-3	1.70643E+1
2.01999E-2	3.55815E-3	2.99126E+2	1.00004E-4	1.70565E-3	1.70557E+1
3.28146E-2	6.81685E-3	2.99125E+2	1.00004E-4	1.70556E-3	1.70549E+1
4.53543E-2	1.51728E-2	2.99126E+2	1.00004E-4	1.70563E-3	1.70556E+1
5.79074E-2	2.80517E-2	2.99129E+2	1.00004E-4	1.70610E-3	1.70602E+1
7.04230E-2	4.15417E-2	2.99130E+2	1.00004E-4	1.70696E-3	1.70689E+1
8.35806E-2	5.47551E-2	2.99132E+2	1.00004E-4	1.70617E-3	1.70610E+1
9.62648E-2	6.76564E-2	2.99134E+2	1.00004E-4	1.70694E-3	1.70687E+1
1.08507E-1	8.03578E-2	2.99137E+2	1.00004E-4	1.70814E-3	1.70807E+1
1.21250E-1	9.30887E-2	2.99140E+2	1.00004E-4	1.70698E-3	1.70690E+1
1.33861E-1	1.05919E-1	2.99144E+2	1.00004E-4	1.70690E-3	1.70683E+1
1.46645E-1	1.18632E-1	2.99147E+2	1.00004E-4	1.70745E-3	1.70739E+1
1.59638E-1	1.30651E-1	2.99149E+2	1.00004E-4	1.70648E-3	1.70641E+1
1.72317E-1	1.42779E-1	2.99153E+2	1.00004E-4	1.70606E-3	1.70598E+1
1.85167E-1	1.55215E-1	2.99154E+2	1.00004E-4	1.70725E-3	1.70718E+1
1.97593E-1	1.67452E-1	2.99154E+2	1.00004E-4	1.70803E-3	1.70796E+1
2.10128E-1	1.79863E-1	2.99155E+2	1.00004E-4	1.70749E-3	1.70742E+1
2.23072E-1	1.92314E-1	2.99155E+2	1.00004E-4	1.70815E-3	1.70808E+1
2.35467E-1	2.04524E-1	2.99157E+2	1.00004E-4	1.70774E-3	1.70766E+1
2.48018E-1	2.16680E-1	2.99159E+2	1.00004E-4	1.70718E-3	1.70711E+1
2.60677E-1	2.28846E-1	2.99158E+2	1.00004E-4	1.70732E-3	1.70725E+1
2.73386E-1	2.41064E-1	2.99158E+2	1.00004E-4	1.70694E-3	1.70687E+1
2.86305E-1	2.53266E-1	2.99156E+2	1.00004E-4	1.70664E-3	1.70656E+1
2.98732E-1	2.65266E-1	2.99154E+2	1.00004E-4	1.70630E-3	1.70623E+1
3.11216E-1	2.77149E-1	2.99154E+2	1.00004E-4	1.70732E-3	1.70725E+1
3.23881E-1	2.89185E-1	2.99153E+2	1.00004E-4	1.70777E-3	1.70770E+1
3.36946E-1	3.01286E-1	2.99152E+2	1.00004E-4	1.70710E-3	1.70703E+1
3.49744E-1	3.13186E-1	2.99147E+2	1.00004E-4	1.70730E-3	1.70723E+1
3.62174E-1	3.25063E-1	2.99145E+2	1.00004E-4	1.70789E-3	1.70781E+1
