T_sample_(K)	I_s	V_nv	R_nv
2.98149E+2	9.99985E-5	3.53777E-2	3.53782E+2
2.98166E+2	9.99986E-5	3.53785E-2	3.53790E+2
2.98196E+2	9.99986E-5	3.53799E-2	3.53805E+2
2.98225E+2	9.99985E-5	3.53810E-2	3.53815E+2
2.98250E+2	9.99985E-5	3.53820E-2	3.53826E+2
2.98272E+2	9.99985E-5	3.53827E-2	3.53833E+2
2.98293E+2	9.99985E-5	3.53829E-2	3.53834E+2
2.98311E+2	9.99986E-5	3.53827E-2	3.53832E+2
2.98325E+2	9.99985E-5	3.53821E-2	3.53826E+2
2.98338E+2	9.99984E-5	3.53811E-2	3.53817E+2
2.98349E+2	9.99985E-5	3.53800E-2	3.53805E+2
2.98355E+2	9.99984E-5	3.53785E-2	3.53790E+2
2.98360E+2	9.99984E-5	3.53767E-2	3.53772E+2
2.98364E+2	9.99984E-5	3.53748E-2	3.53754E+2
2.98364E+2	9.99984E-5	3.53725E-2	3.53730E+2
2.98361E+2	9.99983E-5	3.53697E-2	3.53703E+2
2.98356E+2	9.99984E-5	3.53666E-2	3.53672E+2
2.98348E+2	9.99986E-5	3.53630E-2	3.53635E+2
2.98336E+2	9.99985E-5	3.53591E-2	3.53596E+2
2.98322E+2	9.99985E-5	3.53551E-2	3.53557E+2
2.98305E+2	9.99985E-5	3.53509E-2	3.53514E+2
2.98285E+2	9.99985E-5	3.53462E-2	3.53468E+2
2.98264E+2	9.99985E-5	3.53413E-2	3.53418E+2
2.98239E+2	9.99985E-5	3.53361E-2	3.53367E+2
2.98212E+2	9.99985E-5	3.53305E-2	3.53311E+2
2.98180E+2	9.99985E-5	3.53248E-2	3.53253E+2
2.98147E+2	9.99985E-5	3.53189E-2	3.53194E+2
2.98111E+2	9.99985E-5	3.53126E-2	3.53131E+2
2.98071E+2	9.99985E-5	3.53061E-2	3.53066E+2
2.98029E+2	9.99985E-5	3.52995E-2	3.53000E+2
2.97985E+2	9.99984E-5	3.52926E-2	3.52931E+2
2.97937E+2	9.99984E-5	3.52854E-2	3.52859E+2
2.97886E+2	9.99985E-5	3.52779E-2	3.52784E+2
2.97832E+2	9.99985E-5	3.52701E-2	3.52706E+2
2.97775E+2	9.99985E-5	3.52623E-2	3.52629E+2
2.97717E+2	9.99985E-5	3.52545E-2	3.52550E+2
2.97656E+2	9.99985E-5	3.52465E-2	3.52471E+2
2.97592E+2	9.99986E-5	3.52379E-2	3.52384E+2
2.97526E+2	9.99985E-5	3.52291E-2	3.52296E+2
2.97455E+2	9.99984E-5	3.52206E-2	3.52211E+2
2.97383E+2	9.99984E-5	3.52117E-2	3.52123E+2
2.97311E+2	9.99984E-5	3.52025E-2	3.52031E+2
2.97234E+2	9.99985E-5	3.51932E-2	3.51937E+2
2.97155E+2	9.99985E-5	3.51839E-2	3.51844E+2
2.97073E+2	9.99984E-5	3.51744E-2	3.51750E+2
2.96990E+2	9.99984E-5	3.51645E-2	3.51651E+2
2.96906E+2	9.99984E-5	3.51546E-2	3.51552E+2
2.96819E+2	9.99984E-5	3.51447E-2	3.51453E+2
2.96731E+2	9.99984E-5	3.51346E-2	3.51351E+2
2.96642E+2	9.99984E-5	3.51242E-2	3.51248E+2
2.96547E+2	9.99984E-5	3.51137E-2	3.51143E+2
2.96450E+2	9.99985E-5	3.51030E-2	3.51036E+2
2.96353E+2	9.99986E-5	3.50924E-2	3.50929E+2
2.96253E+2	9.99984E-5	3.50819E-2	3.50825E+2
2.96152E+2	9.99984E-5	3.50708E-2	3.50714E+2
2.96048E+2	9.99985E-5	3.50596E-2	3.50601E+2
2.95941E+2	9.99985E-5	3.50483E-2	3.50488E+2
2.95833E+2	9.99985E-5	3.50369E-2	3.50374E+2
2.95721E+2	9.99986E-5	3.50256E-2	3.50261E+2
2.95608E+2	9.99986E-5	3.50144E-2	3.50149E+2
2.95496E+2	9.99985E-5	3.50030E-2	3.50035E+2
2.95383E+2	9.99985E-5	3.49914E-2	3.49919E+2
2.95265E+2	9.99985E-5	3.49795E-2	3.49801E+2
2.95145E+2	9.99985E-5	3.49676E-2	3.49681E+2
2.95024E+2	9.99985E-5	3.49556E-2	3.49562E+2
2.94901E+2	9.99985E-5	3.49436E-2	3.49442E+2
2.94777E+2	9.99985E-5	3.49316E-2	3.49321E+2
2.94651E+2	9.99984E-5	3.49195E-2	3.49201E+2
2.94523E+2	9.99985E-5	3.49073E-2	3.49079E+2
2.94396E+2	9.99985E-5	3.48951E-2	3.48956E+2
2.94267E+2	9.99984E-5	3.48824E-2	3.48829E+2
2.94132E+2	9.99984E-5	3.48695E-2	3.48701E+2
2.93998E+2	9.99985E-5	3.48570E-2	3.48575E+2
2.93864E+2	9.99985E-5	3.48445E-2	3.48450E+2
2.93726E+2	9.99986E-5	3.48319E-2	3.48324E+2
2.93586E+2	9.99985E-5	3.48189E-2	3.48194E+2
2.93446E+2	9.99985E-5	3.48061E-2	3.48066E+2
2.93305E+2	9.99985E-5	3.47932E-2	3.47937E+2
2.93162E+2	9.99984E-5	3.47802E-2	3.47808E+2
2.93019E+2	9.99984E-5	3.47672E-2	3.47677E+2
2.92873E+2	9.99984E-5	3.47541E-2	3.47546E+2
2.92727E+2	9.99984E-5	3.47411E-2	3.47416E+2
2.92580E+2	9.99984E-5	3.47279E-2	3.47285E+2
2.92429E+2	9.99985E-5	3.47148E-2	3.47154E+2
2.92277E+2	9.99985E-5	3.47015E-2	3.47020E+2
2.92124E+2	9.99985E-5	3.46881E-2	3.46886E+2
2.91971E+2	9.99984E-5	3.46744E-2	3.46750E+2
2.91816E+2	9.99984E-5	3.46608E-2	3.46613E+2
2.91658E+2	9.99985E-5	3.46473E-2	3.46478E+2
2.91502E+2	9.99985E-5	3.46336E-2	3.46341E+2
2.91348E+2	9.99984E-5	3.46198E-2	3.46204E+2
2.91190E+2	9.99983E-5	3.46059E-2	3.46064E+2
2.91030E+2	9.99984E-5	3.45918E-2	3.45924E+2
