B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
9.50000E-4	-3.17103E-3	2.98840E+2	9.99985E-5	8.33234E-5	8.33246E-1
6.72458E-4	-3.17081E-3	2.98845E+2	9.99986E-5	8.33254E-5	8.33266E-1
4.70000E-4	-3.17080E-3	2.98855E+2	9.99986E-5	8.33167E-5	8.33179E-1
4.70000E-4	-3.17127E-3	2.98864E+2	9.99986E-5	8.33025E-5	8.33037E-1
4.70000E-4	-3.17103E-3	2.98873E+2	9.99986E-5	8.33174E-5	8.33185E-1
4.70000E-4	-3.17082E-3	2.98880E+2	9.99986E-5	8.32975E-5	8.32987E-1
4.70000E-4	-3.17079E-3	2.98889E+2	9.99986E-5	8.32683E-5	8.32695E-1
9.30900E-3	-3.00269E-3	2.98899E+2	9.99986E-5	8.32853E-5	8.32865E-1
2.54723E-2	-1.68275E-3	2.98908E+2	9.99987E-5	8.32642E-5	8.32653E-1
4.46969E-2	5.88588E-3	2.98917E+2	9.99986E-5	8.32538E-5	8.32550E-1
6.43465E-2	2.14982E-2	2.98926E+2	9.99984E-5	8.32496E-5	8.32509E-1
8.37599E-2	4.10202E-2	2.98933E+2	9.99985E-5	8.32301E-5	8.32313E-1
1.03059E-1	6.10178E-2	2.98941E+2	9.99986E-5	8.32160E-5	8.32172E-1
1.22789E-1	8.11375E-2	2.98949E+2	9.99986E-5	8.32200E-5	8.32211E-1
1.42317E-1	1.01285E-1	2.98958E+2	9.99986E-5	8.32715E-5	8.32727E-1
1.61863E-1	1.21085E-1	2.98967E+2	9.99985E-5	8.32721E-5	8.32733E-1
1.81133E-1	1.40737E-1	2.98976E+2	9.99986E-5	8.32555E-5	8.32567E-1
2.00566E-1	1.60572E-1	2.98984E+2	9.99986E-5	8.32450E-5	8.32462E-1
2.19958E-1	1.80133E-1	2.98992E+2	9.99985E-5	8.32379E-5	8.32391E-1
2.39328E-1	1.99438E-1	2.98999E+2	9.99985E-5	8.32795E-5	8.32807E-1
2.59160E-1	2.18848E-1	2.99006E+2	9.99985E-5	8.33463E-5	8.33475E-1
2.78536E-1	2.38159E-1	2.99012E+2	9.99984E-5	8.32887E-5	8.32900E-1
2.98227E-1	2.57333E-1	2.99016E+2	9.99985E-5	8.31676E-5	8.31689E-1
3.17247E-1	2.76496E-1	2.99020E+2	9.99985E-5	8.31662E-5	8.31674E-1
3.36750E-1	2.95346E-1	2.99024E+2	9.99986E-5	8.32646E-5	8.32657E-1
3.57032E-1	3.13882E-1	2.99027E+2	9.99987E-5	8.34042E-5	8.34053E-1
3.76611E-1	3.32515E-1	2.99029E+2	9.99986E-5	8.32832E-5	8.32843E-1
3.95679E-1	3.51021E-1	2.99029E+2	9.99986E-5	8.31659E-5	8.31671E-1
4.14994E-1	3.69269E-1	2.99027E+2	9.99986E-5	8.31801E-5	8.31813E-1
4.34781E-1	3.87725E-1	2.99025E+2	9.99986E-5	8.31532E-5	8.31543E-1
4.54471E-1	4.06264E-1	2.99026E+2	9.99986E-5	8.32735E-5	8.32747E-1
4.73739E-1	4.25199E-1	2.99023E+2	9.99987E-5	8.33837E-5	8.33848E-1
4.93061E-1	4.44422E-1	2.99017E+2	9.99986E-5	8.34356E-5	8.34368E-1
5.12569E-1	4.63244E-1	2.99013E+2	9.99985E-5	8.33002E-5	8.33014E-1
5.31808E-1	4.82051E-1	2.99007E+2	9.99986E-5	8.32194E-5	8.32206E-1
5.51361E-1	5.00758E-1	2.98999E+2	9.99986E-5	8.34617E-5	8.34629E-1
5.71638E-1	5.19259E-1	2.98990E+2	9.99985E-5	8.33094E-5	8.33107E-1
5.91041E-1	5.37932E-1	2.98978E+2	9.99985E-5	8.31950E-5	8.31962E-1
6.10287E-1	5.56784E-1	2.98964E+2	9.99987E-5	8.33196E-5	8.33207E-1
6.29895E-1	5.75493E-1	2.98948E+2	9.99986E-5	8.34085E-5	8.34097E-1
6.49629E-1	5.94103E-1	2.98931E+2	9.99985E-5	8.35292E-5	8.35305E-1
6.69616E-1	6.12780E-1	2.98911E+2	9.99986E-5	8.33231E-5	8.33242E-1
6.88642E-1	6.31339E-1	2.98888E+2	9.99986E-5	8.32415E-5	8.32426E-1
7.07829E-1	6.49913E-1	2.98862E+2	9.99986E-5	8.34049E-5	8.34061E-1
7.27293E-1	6.68690E-1	2.98832E+2	9.99986E-5	8.34513E-5	8.34525E-1
7.47052E-1	6.87458E-1	2.98802E+2	9.99986E-5	8.35678E-5	8.35690E-1
7.66520E-1	7.06178E-1	2.98770E+2	9.99986E-5	8.36603E-5	8.36614E-1
7.86662E-1	7.25069E-1	2.98733E+2	9.99986E-5	8.35872E-5	8.35884E-1
8.06263E-1	7.43951E-1	2.98693E+2	9.99985E-5	8.36604E-5	8.36616E-1
8.25050E-1	7.62884E-1	2.98650E+2	9.99985E-5	8.36934E-5	8.36946E-1
8.44151E-1	7.82075E-1	2.98605E+2	9.99985E-5	8.37985E-5	8.37998E-1
8.63945E-1	8.01234E-1	2.98557E+2	9.99986E-5	8.41592E-5	8.41604E-1
8.83870E-1	8.20201E-1	2.98507E+2	9.99986E-5	8.39617E-5	8.39628E-1
9.03178E-1	8.39215E-1	2.98454E+2	9.99985E-5	8.38322E-5	8.38335E-1
9.22540E-1	8.58428E-1	2.98395E+2	9.99984E-5	8.37077E-5	8.37090E-1
9.42914E-1	8.77838E-1	2.98334E+2	9.99984E-5	8.38002E-5	8.38015E-1
9.62098E-1	8.97479E-1	2.98271E+2	9.99985E-5	8.40613E-5	8.40626E-1
9.81419E-1	9.17096E-1	2.98205E+2	9.99986E-5	8.42602E-5	8.42613E-1
1.00109E+0	9.36670E-1	2.98135E+2	9.99986E-5	8.43494E-5	8.43506E-1
1.02001E+0	9.56480E-1	2.98067E+2	9.99985E-5	8.43319E-5	8.43331E-1
1.03948E+0	9.76187E-1	2.98000E+2	9.99986E-5	8.43261E-5	8.43274E-1
1.05981E+0	9.95875E-1	2.97929E+2	9.99986E-5	8.44353E-5	8.44365E-1
1.07908E+0	1.01559E+0	2.97850E+2	9.99985E-5	8.48124E-5	8.48136E-1
1.09914E+0	1.03476E+0	2.97758E+2	9.99985E-5	8.49784E-5	8.49796E-1
1.11794E+0	1.05375E+0	2.97660E+2	9.99986E-5	8.48300E-5	8.48311E-1
1.13680E+0	1.07272E+0	2.97557E+2	9.99987E-5	8.48691E-5	8.48702E-1
1.15728E+0	1.09157E+0	2.97452E+2	9.99986E-5	8.50990E-5	8.51002E-1
1.17637E+0	1.11075E+0	2.97348E+2	9.99986E-5	8.49587E-5	8.49599E-1
1.19573E+0	1.12989E+0	2.97241E+2	9.99986E-5	8.49775E-5	8.49787E-1
1.21569E+0	1.14867E+0	2.97137E+2	9.99985E-5	8.52772E-5	8.52784E-1
1.23505E+0	1.16749E+0	2.97042E+2	9.99986E-5	8.54742E-5	8.54753E-1
1.25469E+0	1.18664E+0	2.96957E+2	9.99987E-5	8.52908E-5	8.52919E-1
1.27460E+0	1.20584E+0	2.96878E+2	9.99986E-5	8.49209E-5	8.49221E-1
1.29411E+0	1.22473E+0	2.96801E+2	9.99986E-5	8.51755E-5	8.51767E-1
1.31319E+0	1.24349E+0	2.96723E+2	9.99986E-5	8.52845E-5	8.52857E-1
1.33248E+0	1.26247E+0	2.96642E+2	9.99985E-5	8.49575E-5	8.49588E-1
