B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
4.70000E-4	-3.07500E-3	2.99376E+2	9.99987E-5	-5.63723E-5	-5.63731E-1
1.33925E-3	-3.06298E-3	2.99377E+2	9.99988E-5	-5.63413E-5	-5.63420E-1
1.42213E-2	-2.57320E-3	2.99379E+2	9.99989E-5	-5.63402E-5	-5.63408E-1
3.39159E-2	6.72594E-4	2.99380E+2	9.99989E-5	-5.63789E-5	-5.63796E-1
5.28282E-2	1.19404E-2	2.99380E+2	9.99988E-5	-5.63917E-5	-5.63924E-1
7.24302E-2	3.01505E-2	2.99382E+2	9.99988E-5	-5.63950E-5	-5.63957E-1
9.23624E-2	5.02713E-2	2.99382E+2	9.99987E-5	-5.63836E-5	-5.63844E-1
1.11829E-1	7.04702E-2	2.99383E+2	9.99988E-5	-5.64085E-5	-5.64092E-1
1.31110E-1	9.05002E-2	2.99385E+2	9.99989E-5	-5.64339E-5	-5.64345E-1
1.51099E-1	1.10484E-1	2.99386E+2	9.99988E-5	-5.64607E-5	-5.64614E-1
1.70541E-1	1.30230E-1	2.99387E+2	9.99987E-5	-5.64604E-5	-5.64611E-1
1.90108E-1	1.49910E-1	2.99386E+2	9.99987E-5	-5.64488E-5	-5.64495E-1
2.09471E-1	1.69692E-1	2.99388E+2	9.99987E-5	-5.64675E-5	-5.64682E-1
2.28215E-1	1.89354E-1	2.99387E+2	9.99988E-5	-5.64626E-5	-5.64633E-1
2.48374E-1	2.09014E-1	2.99384E+2	9.99987E-5	-5.65133E-5	-5.65140E-1
2.68348E-1	2.28487E-1	2.99381E+2	9.99987E-5	-5.65439E-5	-5.65446E-1
2.87526E-1	2.47689E-1	2.99379E+2	9.99988E-5	-5.65346E-5	-5.65353E-1
3.06563E-1	2.66828E-1	2.99375E+2	9.99988E-5	-5.65128E-5	-5.65135E-1
3.26852E-1	2.85900E-1	2.99368E+2	9.99989E-5	-5.64672E-5	-5.64678E-1
3.46605E-1	3.04725E-1	2.99361E+2	9.99988E-5	-5.65405E-5	-5.65412E-1
3.65640E-1	3.23330E-1	2.99354E+2	9.99988E-5	-5.65346E-5	-5.65353E-1
3.85244E-1	3.41799E-1	2.99345E+2	9.99988E-5	-5.63972E-5	-5.63979E-1
4.04972E-1	3.60135E-1	2.99333E+2	9.99987E-5	-5.63719E-5	-5.63726E-1
4.24499E-1	3.78344E-1	2.99322E+2	9.99987E-5	-5.64412E-5	-5.64419E-1
4.43711E-1	3.96892E-1	2.99309E+2	9.99988E-5	-5.64773E-5	-5.64780E-1
4.63020E-1	4.16085E-1	2.99293E+2	9.99988E-5	-5.65014E-5	-5.65021E-1
