B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
9.50000E-4	-1.53341E-3	2.99294E+2	1.00004E-4	3.72757E-4	3.72741E+0
1.45241E-3	-1.53102E-3	2.99295E+2	1.00004E-4	3.72745E-4	3.72729E+0
7.86586E-3	-1.31318E-3	2.99294E+2	1.00004E-4	3.72700E-4	3.72685E+0
2.07805E-2	-3.73196E-4	2.99292E+2	1.00004E-4	3.72705E-4	3.72689E+0
3.32392E-2	3.00103E-3	2.99291E+2	1.00004E-4	3.72712E-4	3.72696E+0
4.56697E-2	1.19487E-2	2.99292E+2	1.00004E-4	3.72708E-4	3.72692E+0
5.87771E-2	2.53750E-2	2.99290E+2	1.00004E-4	3.72729E-4	3.72713E+0
7.16730E-2	3.94414E-2	2.99288E+2	1.00004E-4	3.72704E-4	3.72688E+0
8.44748E-2	5.31386E-2	2.99290E+2	1.00004E-4	3.72665E-4	3.72649E+0
9.72607E-2	6.64799E-2	2.99291E+2	1.00004E-4	3.72618E-4	3.72602E+0
1.09690E-1	7.94867E-2	2.99290E+2	1.00004E-4	3.72616E-4	3.72601E+0
1.22369E-1	9.22580E-2	2.99289E+2	1.00004E-4	3.72612E-4	3.72597E+0
1.34829E-1	1.04898E-1	2.99290E+2	1.00004E-4	3.72600E-4	3.72584E+0
1.47321E-1	1.17452E-1	2.99291E+2	1.00004E-4	3.72580E-4	3.72564E+0
1.60002E-1	1.29694E-1	2.99291E+2	1.00004E-4	3.72596E-4	3.72581E+0
1.72969E-1	1.41967E-1	2.99292E+2	1.00004E-4	3.72531E-4	3.72516E+0
1.85468E-1	1.54536E-1	2.99291E+2	1.00004E-4	3.72544E-4	3.72528E+0
1.97997E-1	1.67080E-1	2.99289E+2	1.00004E-4	3.72688E-4	3.72673E+0
2.10955E-1	1.79474E-1	2.99288E+2	1.00004E-4	3.72592E-4	3.72576E+0
2.23540E-1	1.91951E-1	2.99288E+2	1.00004E-4	3.72477E-4	3.72461E+0
2.36050E-1	2.04404E-1	2.99287E+2	1.00004E-4	3.72539E-4	3.72523E+0
2.48560E-1	2.16803E-1	2.99286E+2	1.00004E-4	3.72555E-4	3.72539E+0
2.61313E-1	2.29248E-1	2.99286E+2	1.00004E-4	3.72561E-4	3.72545E+0
2.74245E-1	2.41522E-1	2.99285E+2	1.00004E-4	3.72518E-4	3.72501E+0
