B_digital_(T)	B_analog_(T)	T_sample_(K)	I_s	V_nv	R_nv
4.70000E-4	-2.61248E-3	2.99617E+2	9.99988E-5	-5.61684E-5	-5.61691E-1
9.50000E-4	-2.60855E-3	2.99612E+2	9.99988E-5	-5.61376E-5	-5.61383E-1
1.52493E-2	-2.21307E-3	2.99605E+2	9.99988E-5	-5.61088E-5	-5.61095E-1
3.13415E-2	4.93627E-4	2.99599E+2	9.99988E-5	-5.61279E-5	-5.61286E-1
5.09141E-2	1.08694E-2	2.99593E+2	9.99987E-5	-5.61536E-5	-5.61543E-1
7.04130E-2	2.85951E-2	2.99586E+2	9.99988E-5	-5.61487E-5	-5.61494E-1
8.96466E-2	4.84739E-2	2.99579E+2	9.99987E-5	-5.61512E-5	-5.61519E-1
1.08952E-1	6.85278E-2	2.99573E+2	9.99987E-5	-5.61985E-5	-5.61993E-1
1.28697E-1	8.86359E-2	2.99566E+2	9.99987E-5	-5.62201E-5	-5.62209E-1
1.48416E-1	1.08651E-1	2.99559E+2	9.99988E-5	-5.62039E-5	-5.62045E-1
1.67681E-1	1.28681E-1	2.99552E+2	9.99987E-5	-5.61955E-5	-5.61962E-1
1.87221E-1	1.48630E-1	2.99543E+2	9.99987E-5	-5.61978E-5	-5.61985E-1
2.06782E-1	1.68386E-1	2.99533E+2	9.99988E-5	-5.62007E-5	-5.62014E-1
2.26253E-1	1.88075E-1	2.99525E+2	9.99989E-5	-5.62150E-5	-5.62156E-1
2.46408E-1	2.07678E-1	2.99517E+2	9.99989E-5	-5.62322E-5	-5.62328E-1
2.66167E-1	2.27055E-1	2.99506E+2	9.99988E-5	-5.62599E-5	-5.62605E-1
2.85669E-1	2.46201E-1	2.99494E+2	9.99988E-5	-5.62389E-5	-5.62396E-1
3.05170E-1	2.65323E-1	2.99482E+2	9.99989E-5	-5.62439E-5	-5.62446E-1
3.24350E-1	2.84512E-1	2.99468E+2	9.99987E-5	-5.62198E-5	-5.62205E-1
3.43400E-1	3.03313E-1	2.99453E+2	9.99988E-5	-5.62386E-5	-5.62393E-1
3.63389E-1	3.21976E-1	2.99438E+2	9.99988E-5	-5.62773E-5	-5.62779E-1
3.82675E-1	3.40595E-1	2.99422E+2	9.99988E-5	-5.62503E-5	-5.62510E-1
4.01817E-1	3.58993E-1	2.99404E+2	9.99987E-5	-5.62128E-5	-5.62135E-1
4.21885E-1	3.77431E-1	2.99386E+2	9.99987E-5	-5.62050E-5	-5.62058E-1
4.41234E-1	3.95952E-1	2.99366E+2	9.99987E-5	-5.61891E-5	-5.61898E-1
4.60553E-1	4.14966E-1	2.99343E+2	9.99987E-5	-5.61111E-5	-5.61118E-1
4.80583E-1	4.34166E-1	2.99320E+2	9.99987E-5	-5.62304E-5	-5.62311E-1
4.99589E-1	4.52842E-1	2.99295E+2	9.99987E-5	-5.63074E-5	-5.63081E-1
5.18903E-1	4.71530E-1	2.99267E+2	9.99988E-5	-5.61826E-5	-5.61833E-1
5.39109E-1	4.90509E-1	2.99237E+2	9.99989E-5	-5.61080E-5	-5.61086E-1
5.58587E-1	5.09291E-1	2.99203E+2	9.99988E-5	-5.60595E-5	-5.60602E-1
5.78258E-1	5.28035E-1	2.99168E+2	9.99988E-5	-5.60365E-5	-5.60372E-1
5.97039E-1	5.46819E-1	2.99132E+2	9.99988E-5	-5.61111E-5	-5.61118E-1
6.16728E-1	5.65535E-1	2.99094E+2	9.99988E-5	-5.61583E-5	-5.61590E-1
6.36543E-1	5.84268E-1	2.99053E+2	9.99988E-5	-5.60458E-5	-5.60464E-1
6.56068E-1	6.02998E-1	2.99009E+2	9.99987E-5	-5.59934E-5	-5.59941E-1
6.75294E-1	6.21678E-1	2.98963E+2	9.99988E-5	-5.60029E-5	-5.60036E-1
6.94619E-1	6.40401E-1	2.98913E+2	9.99988E-5	-5.60336E-5	-5.60343E-1
7.14122E-1	6.59106E-1	2.98860E+2	9.99988E-5	-5.58842E-5	-5.58849E-1
7.33880E-1	6.77854E-1	2.98806E+2	9.99988E-5	-5.57897E-5	-5.57904E-1
7.53617E-1	6.96725E-1	2.98748E+2	9.99988E-5	-5.57994E-5	-5.58001E-1
7.72892E-1	7.15556E-1	2.98685E+2	9.99987E-5	-5.57394E-5	-5.57401E-1
7.92276E-1	7.34440E-1	2.98622E+2	9.99988E-5	-5.55877E-5	-5.55884E-1
8.11801E-1	7.53409E-1	2.98556E+2	9.99988E-5	-5.55694E-5	-5.55701E-1
8.31654E-1	7.72397E-1	2.98485E+2	9.99987E-5	-5.56139E-5	-5.56146E-1
8.51606E-1	7.91328E-1	2.98413E+2	9.99986E-5	-5.55298E-5	-5.55306E-1
8.70627E-1	8.10513E-1	2.98338E+2	9.99987E-5	-5.55187E-5	-5.55194E-1
8.90109E-1	8.29661E-1	2.98259E+2	9.99988E-5	-5.55498E-5	-5.55504E-1
9.10138E-1	8.48832E-1	2.98177E+2	9.99988E-5	-5.55813E-5	-5.55819E-1
9.29334E-1	8.68158E-1	2.98094E+2	9.99988E-5	-5.55475E-5	-5.55481E-1
9.48951E-1	8.87668E-1	2.98004E+2	9.99987E-5	-5.53416E-5	-5.53424E-1
9.69145E-1	9.07352E-1	2.97912E+2	9.99987E-5	-5.53056E-5	-5.53063E-1
9.88111E-1	9.26949E-1	2.97820E+2	9.99988E-5	-5.54863E-5	-5.54870E-1
1.00722E+0	9.46680E-1	2.97723E+2	9.99987E-5	-5.54399E-5	-5.54406E-1
1.02723E+0	9.66414E-1	2.97623E+2	9.99988E-5	-5.51602E-5	-5.51608E-1
1.04646E+0	9.86103E-1	2.97523E+2	9.99989E-5	-5.48189E-5	-5.48195E-1
1.06574E+0	1.00583E+0	2.97414E+2	9.99988E-5	-5.49460E-5	-5.49467E-1
1.08525E+0	1.02532E+0	2.97302E+2	9.99988E-5	-5.51348E-5	-5.51354E-1
1.10454E+0	1.04458E+0	2.97193E+2	9.99988E-5	-5.51101E-5	-5.51108E-1
1.12459E+0	1.06377E+0	2.97083E+2	9.99988E-5	-5.50429E-5	-5.50436E-1
1.14375E+0	1.08273E+0	2.96976E+2	9.99988E-5	-5.50683E-5	-5.50690E-1
1.16291E+0	1.10163E+0	2.96878E+2	9.99988E-5	-5.51212E-5	-5.51219E-1
1.18291E+0	1.12051E+0	2.96793E+2	9.99988E-5	-5.52091E-5	-5.52097E-1
1.20266E+0	1.13949E+0	2.96713E+2	9.99987E-5	-5.52271E-5	-5.52278E-1
1.22249E+0	1.15847E+0	2.96628E+2	9.99987E-5	-5.51265E-5	-5.51273E-1
1.24195E+0	1.17765E+0	2.96541E+2	9.99988E-5	-5.50752E-5	-5.50758E-1
1.26122E+0	1.19674E+0	2.96456E+2	9.99987E-5	-5.51715E-5	-5.51722E-1
1.28099E+0	1.21565E+0	2.96375E+2	9.99987E-5	-5.51911E-5	-5.51918E-1
1.29991E+0	1.23470E+0	2.96305E+2	9.99988E-5	-5.53110E-5	-5.53117E-1
1.31917E+0	1.25372E+0	2.96241E+2	9.99989E-5	-5.54666E-5	-5.54672E-1
1.33915E+0	1.27276E+0	2.96182E+2	9.99988E-5	-5.53265E-5	-5.53271E-1
1.35856E+0	1.29179E+0	2.96131E+2	9.99989E-5	-5.53755E-5	-5.53761E-1
1.37820E+0	1.31105E+0	2.96088E+2	9.99989E-5	-5.55511E-5	-5.55517E-1
1.39791E+0	1.33028E+0	2.96049E+2	9.99989E-5	-5.54798E-5	-5.54804E-1
1.41705E+0	1.34930E+0	2.96018E+2	9.99989E-5	-5.54410E-5	-5.54416E-1
1.43676E+0	1.36835E+0	2.95995E+2	9.99988E-5	-5.55743E-5	-5.55750E-1
1.45679E+0	1.38745E+0	2.95977E+2	9.99988E-5	-5.55715E-5	-5.55722E-1
1.47616E+0	1.40674E+0	2.95965E+2	9.99987E-5	-5.57281E-5	-5.57288E-1
1.49557E+0	1.42600E+0	2.95958E+2	9.99988E-5	-5.57810E-5	-5.57817E-1
1.51476E+0	1.44514E+0	2.95957E+2	9.99988E-5	-5.56830E-5	-5.56836E-1
1.53443E+0	1.46432E+0	2.95962E+2	9.99987E-5	-5.57499E-5	-5.57507E-1
1.55409E+0	1.48334E+0	2.95971E+2	9.99987E-5	-5.57896E-5	-5.57903E-1
1.57329E+0	1.50239E+0	2.95985E+2	9.99988E-5	-5.57699E-5	-5.57706E-1
1.59231E+0	1.52146E+0	2.96002E+2	9.99988E-5	-5.60350E-5	-5.60357E-1
1.61306E+0	1.54061E+0	2.96024E+2	9.99989E-5	-5.60742E-5	-5.60748E-1
1.63215E+0	1.55985E+0	2.96052E+2	9.99989E-5	-5.59571E-5	-5.59577E-1
1.65202E+0	1.57884E+0	2.96083E+2	9.99988E-5	-5.61025E-5	-5.61032E-1
1.67211E+0	1.59782E+0	2.96117E+2	9.99988E-5	-5.61755E-5	-5.61761E-1
1.69116E+0	1.61692E+0	2.96152E+2	9.99988E-5	-5.62939E-5	-5.62946E-1
1.71040E+0	1.63630E+0	2.96191E+2	9.99988E-5	-5.63836E-5	-5.63843E-1
1.73041E+0	1.65543E+0	2.96234E+2	9.99987E-5	-5.63921E-5	-5.63928E-1
1.74941E+0	1.67458E+0	2.96278E+2	9.99987E-5	-5.66236E-5	-5.66244E-1
1.76876E+0	1.69373E+0	2.96326E+2	9.99986E-5	-5.66155E-5	-5.66163E-1
1.78799E+0	1.71286E+0	2.96378E+2	9.99987E-5	-5.65591E-5	-5.65598E-1
1.80739E+0	1.73205E+0	2.96431E+2	9.99988E-5	-5.65989E-5	-5.65996E-1
1.82757E+0	1.75108E+0	2.96484E+2	9.99987E-5	-5.67927E-5	-5.67934E-1
1.84680E+0	1.77047E+0	2.96540E+2	9.99987E-5	-5.69385E-5	-5.69392E-1
1.86595E+0	1.78991E+0	2.96598E+2	9.99987E-5	-5.68815E-5	-5.68822E-1
1.88628E+0	1.80907E+0	2.96657E+2	9.99987E-5	-5.69812E-5	-5.69819E-1
1.90554E+0	1.82815E+0	2.96717E+2	9.99988E-5	-5.68982E-5	-5.68989E-1
1.92501E+0	1.84725E+0	2.96778E+2	9.99988E-5	-5.67940E-5	-5.67947E-1
1.94494E+0	1.86648E+0	2.96840E+2	9.99988E-5	-5.69179E-5	-5.69186E-1
1.96389E+0	1.88589E+0	2.96903E+2	9.99987E-5	-5.69486E-5	-5.69493E-1
1.98336E+0	1.90534E+0	2.96967E+2	9.99988E-5	-5.67598E-5	-5.67605E-1
2.00248E+0	1.92446E+0	2.97032E+2	9.99988E-5	-5.70318E-5	-5.70325E-1
2.02191E+0	1.94351E+0	2.97097E+2	9.99988E-5	-5.70602E-5	-5.70609E-1
2.04217E+0	1.96268E+0	2.97162E+2	9.99987E-5	-5.70480E-5	-5.70488E-1
2.06151E+0	1.98211E+0	2.97231E+2	9.99988E-5	-5.69406E-5	-5.69413E-1
2.08096E+0	2.00151E+0	2.97298E+2	9.99988E-5	-5.70092E-5	-5.70099E-1
2.10068E+0	2.02066E+0	2.97366E+2	9.99988E-5	-5.72381E-5	-5.72388E-1
2.12019E+0	2.04000E+0	2.97433E+2	9.99988E-5	-5.72542E-5	-5.72549E-1
2.13972E+0	2.05939E+0	2.97498E+2	9.99987E-5	-5.72549E-5	-5.72557E-1
2.15983E+0	2.07862E+0	2.97566E+2	9.99988E-5	-5.72406E-5	-5.72413E-1
2.17880E+0	2.09780E+0	2.97633E+2	9.99988E-5	-5.72919E-5	-5.72926E-1
2.19848E+0	2.11723E+0	2.97698E+2	9.99987E-5	-5.71473E-5	-5.71481E-1
2.21707E+0	2.13672E+0	2.97764E+2	9.99988E-5	-5.72348E-5	-5.72355E-1
2.23648E+0	2.15603E+0	2.97831E+2	9.99989E-5	-5.74281E-5	-5.74287E-1
2.25702E+0	2.17526E+0	2.97895E+2	9.99987E-5	-5.71307E-5	-5.71314E-1
2.27562E+0	2.19458E+0	2.97961E+2	9.99987E-5	-5.68802E-5	-5.68809E-1
2.29584E+0	2.21389E+0	2.98027E+2	9.99987E-5	-5.71097E-5	-5.71105E-1
2.31590E+0	2.23315E+0	2.98092E+2	9.99987E-5	-5.74446E-5	-5.74454E-1
2.33479E+0	2.25253E+0	2.98154E+2	9.99988E-5	-5.73388E-5	-5.73396E-1
2.35464E+0	2.27190E+0	2.98217E+2	9.99987E-5	-5.71114E-5	-5.71121E-1
2.37311E+0	2.29126E+0	2.98280E+2	9.99987E-5	-5.70899E-5	-5.70907E-1
2.39251E+0	2.31064E+0	2.98342E+2	9.99987E-5	-5.72998E-5	-5.73005E-1
2.41285E+0	2.32998E+0	2.98401E+2	9.99987E-5	-5.75455E-5	-5.75462E-1
2.43163E+0	2.34938E+0	2.98459E+2	9.99987E-5	-5.73997E-5	-5.74004E-1
2.45102E+0	2.36874E+0	2.98519E+2	9.99987E-5	-5.72049E-5	-5.72056E-1
